,query_6
220,nervous system infection
221,cr
222,respiratory infectious disease
223,high fever
224,lung disease
225,h5n1 influenza
226,mp
227,acute kidney injury
228,systemic granulomatous disease
229,pe
230,hypoxemic failure
231,infectious bronchitis virus
232,fever
233,liver damage
234,emerging
235,mouse hepatitis virus
236,distress syndrome
237,cardiovascular complication
238,influenza pandemic
239,lymphocytopenia
240,respiratory failure
241,disease progression
242,diabetes
243,scov
244,acute
245,liver
246,dic
247,acute respiratory illness
248,bacterial infection
249,disease
250,febrile illness
251,ml
252,aspergillosis
253,aki
254,transmissible gastroenteritis coronavirus
255,acute encephalopathy
256,coronavirus infection
257,sepsis
258,miscarriage
259,hit
260,lower
261,vaccine
262,viral hemorrhagic fever
263,acute disease
264,headache
265,pulmonary aspergillosis
266,kawasaki disease
267,syndrome coronavirus
268,infectious illness
269,major
270,sars cov
271,clotting disorder
272,gb
273,virus disease
274,febrile respiratory illness
275,encephalopathy
276,kidney injury
277,respiratory disease
278,middle east respiratory syndrome coronavirus
279,virus associated
280,immunodeficiency virus
281,diarrhoea
282,inflammation
283,respiratory syndrome
284,severe infection
285,human virus
286,gastrointestinal symptom
287,hepatitis e virus
288,stress cardiomyopathy
289,respiratory virus
290,direct infection
291,cov infection
292,immunopathology
293,anxiety
294,infectious
295,fip
296,cardiac injury
297,respiratory condition
298,feline infectious peritonitis
299,neurologic disorder
300,alveolar damage
301,encephalitis
302,influenza b
303,hypoxaemia
304,acute necrotizing encephalopathy
305,acute respiratory disease
306,public health
307,meningitis
308,pulmonary inflammation
309,secondary infection
310,hemorrhagic fever
311,adenovirus
312,fatal
313,he
314,acute illness
315,same
316,cytokine release syndrome
317,emerging infectious disease
318,influenza a
319,acute infection
320,cardiac event
321,neurological disorder
322,local disease
323,peritonitis
324,viral disease
325,cytokine storm
326,respiratory tract illness
327,alphacoronavirus 1
328,condition
329,osteonecrosis
330,bocavirus
331,human coronavirus
332,respiratory virus infection
333,lu
334,necrosis
335,nipah virus
336,respiratory
337,respiratory distress syndrome
338,meningoencephalitis
339,sars coronavirus
