,query_6
223,sars cov infection
224,uterus
225,systemic granulomatous disease
226,urticaria
227,viral lung disease
228,cvd
229,respiratory infectious disease
230,mouse hepatitis virus
231,shipping fever
232,infectious
233,obesity
234,h1n1
235,osteonecrosis
236,human coronavirus
237,ali
238,tract illness
239,bilateral pneumonia
240,laryngotracheitis
241,pulmonary syndrome
242,hypercoagulability
243,cortex
244,primary infection
245,cardiovascular disease
246,myocardial injury
247,fatigue
248,influenza a
249,tb
250,relapse
251,clotting disorder
252,androgenetic alopecia
253,nose
254,plan
255,he
256,virus
257,disorder
258,influenza b
259,disease
260,dad
261,rna virus
262,hit
263,bovine diarrhea virus
264,cxr
265,fatal
266,coagulopathy
267,cns
268,systemic inflammation
269,long
270,syndrome
271,acute respiratory distress syndrome
272,respiratory condition
273,acute febrile illness
274,enveloped virus
275,feline infectious peritonitis
276,respiratory syndrome
277,clinical deterioration
278,cat
279,viral respiratory infection
280,myocarditis
281,hemophagocytic syndrome
282,renal injury
283,cdc
284,encephalitis
285,epidemic disease
286,systemic disease
287,respiratory tract infection
288,alopecia
289,respiratory infection
290,necrotizing encephalopathy
291,cardiomyopathy
292,pulmonary complication
293,plague
294,respiratory tract illness
295,acute respiratory disease
296,stroke
297,conjunctivitis
298,multi-organ failure
299,leukopenia
300,emerging infectious disease
301,severe
302,anxiety
303,diabetes
304,epidemic
305,cardiovascular complication
306,inflammatory
307,ards
308,influenza pandemic
309,acute respiratory infection
310,infectious disease
311,coronavirus infectious disease
312,middle east respiratory syndrome
313,cardiac injury
314,lung injury
315,pe
316,flu
317,acute necrotizing encephalopathy
318,common cold
319,acute infection
320,2009
321,same
322,respiratory complication
323,respiratory disease
324,hepatitis e virus
325,vasculitis
326,illness
327,aspergillosis
328,mental health problem
329,acute respiratory syndrome
330,miscarriage
331,cold
332,pulmonary disease
333,hcw
334,injury
335,communicable respiratory disease
336,emerging
337,pleural effusion
338,atypical pneumonia
339,ct
340,rhinovirus
341,lymphocytopenia
342,viral infectious disease
343,throat infection
344,stress cardiomyopathy
345,bacterial infection
346,still disease
347,thrombosis
348,diarrhea
349,rhabdomyolysis
350,h1n1 swine flu
351,insulin resistance
352,psychological distress
353,hyperfibrinolysis
354,renal failure
355,fibrosis
356,respiratory symptom
357,seasonal influenza
358,systemic infection
359,diarrhoea
360,acute
361,hemagglutinating encephalomyelitis virus
362,middle east respiratory syndrome coronavirus
363,disease progression
364,inflammation
365,direct infection
366,lu
367,respiratory distress syndrome
368,kidney injury
369,ground glass opacity
370,seborrheic dermatitis
371,venous thromboembolism
372,mhv
373,public health
374,bocavirus
375,influenza virus
376,nasal discharge
377,mucosal
378,non-communicable disease
379,infectious bronchitis virus
380,coronavirus disease
381,ageing
382,image
383,anorexia
384,bcg
385,bovine viral diarrhea virus
386,viral respiratory illness
