,Unnamed: 0.1,subject,object,new_relation
11941,1387,treatment,endo h,treat_procedure_gene
12047,99,vaccinia virus,bacteriophage t7 polymerase,disease_gene
12048,100,recombinant vaccinia virus,bacteriophage t7 polymerase,disease_gene
12303,355,ace2,carboxypeptidase,gene_gene
12339,391,ace2,receptor,gene_gene
12340,392,ace2,syndrome,gene_disease
12341,393,ace2,respiratory syndrome,gene_disease
12343,395,ace2,respiratory syndrome,gene_disease
12344,396,ace2,acute respiratory syndrome,gene_disease
12348,400,ace2,severe acute respiratory syndrome,gene_disease
12349,401,ace2,sars,gene_disease
12350,402,ace2,sars,gene_disease
12351,403,ace2,syndrome,gene_disease
12352,404,ace2,acute respiratory syndrome,gene_disease
12354,406,ace2,severe acute respiratory syndrome,gene_disease
12410,462,glu,gln,drug_drug
12412,464,ace3,specie,gene_species
12584,636,ace3,pseudogene,gene_gene
12653,705,gln,mouse,drug_gene
12655,707,ace3,mouse,gene_gene
12658,710,asp,ace,drug_drug
12660,712,asp,critical,drug_disease
12683,735,ace3 sequence,mouse,gene_gene
12711,763,ace3,mouse,gene_gene
12815,867,human ace3,ace,gene_drug
12831,883,ace3,ace,gene_drug
12840,892,pseudogenes,expression,gene_treat_procedure
12915,967,makorin1,animal,gene_species
12918,970,presence,expression,treat_procedure_treat_procedure
12925,977,makorin1,animal,gene_species
13010,1062,ace3 gene,expression,gene_treat_procedure
13013,1065,ace3 gene,gene,gene_gene
13923,141,u,virus,disease_disease
13994,212,impact,u,gene_disease
14007,225,finding,u,symptom_disease
14183,401,rna,extracted,disease_treat_procedure
14414,632,influenza virus,a,disease_disease
14418,636,virus,specie,disease_species
14420,638,virus,human,disease_gene
14427,645,influenza a virus,specie,disease_species
14845,1063,genome,viral rna polymerase,gene_gene
14846,1064,viral genome,rna polymerase,gene_gene
14847,1065,viral genome,rna dependent rna polymerase,gene_gene
14848,1066,viral genome,viral rna polymerase,gene_gene
14851,1069,genome,rna dependent rna polymerase,gene_gene
14852,1070,genome,rna polymerase,gene_gene
15591,88,pseudoknot,ribosome,gene_gene
15938,435,pandemic influenza,impact,disease_gene
16781,1278,guidance,impact,treat_procedure_gene
17553,59,pandemic virus,epidemic,disease_disease
17742,248,coronavirus infection,common cold,disease_disease
17748,254,coronavirus infection,common cold,disease_disease
17749,255,coronavirus infection,cold,disease_disease
17754,260,coronavirus infection,cold,disease_disease
17756,262,coronavirus infection,respiratory tract disease,disease_disease
17758,264,coronavirus infection,respiratory tract disease,disease_disease
18167,673,coding region,detected,gene_treat_procedure
18216,722,mhv,cdc,disease_gene
18220,726,mhv,pdcs,disease_gene
18221,727,mhv,cdc,disease_gene
18350,856,nsp1,induction,gene_treat_procedure
18732,1238,nsp1,major,gene_disease
18956,1462,coronaviruses,papcs,disease_gene
18962,1468,coronaviruses,expression,disease_treat_procedure
19140,1646,gpt gene,gene,gene_gene
19231,1737,poly,c,drug_disease
19364,1870,respiratory tract disease,sars cov,disease_disease
19365,1871,lower respiratory tract disease,sars cov,disease_disease
19675,162,blind,encephalitis,disease_disease
19688,175,blind,encephalitis,disease_disease
19725,212,encephalitic alphavirus,mouse,disease_species
19726,213,encephalitic alphavirus,cns,disease_disease
19835,322,virus,tissue,disease_disease
19839,326,virus,cns,disease_disease
19840,327,virus,cns,disease_disease
19852,339,virus,tissue,disease_disease
20010,497,infection,encephalitis,disease_disease
20380,867,encephalitis,infiltration,disease_treat_procedure
20685,1172,cell type,vaccination,gene_treat_procedure
20862,1349,igg antibody,infection,gene_disease
21528,2015,virus,electroporation,disease_treat_procedure
21915,42,virus,infection,disease_disease
21993,120,g3bp1,nsp2,gene_gene
21996,123,g3bp1,nsp2,gene_gene
22070,197,expression,pkr,treat_procedure_gene
22082,209,wnv,rna,disease_disease
22390,517,infection,tgev,disease_disease
24142,2269,inclusion,granule,gene_gene
24201,1,nuclear factor κb,expression,gene_treat_procedure
24833,633,rna virus,protein,disease_gene
25523,1323,e1a,p50,gene_gene
26011,1811,parasite,host,disease_gene
26017,1817,parasite,iκbα,disease_gene
26165,1965,injury,child,disease_species
26168,1968,inflammatory injury,child,disease_species
26564,281,ldh,injury,gene_disease
26966,683,y,uri,disease_disease
26980,697,sore throat,fever,disease_disease
27317,1034,asthma,illness,disease_symptom
27330,1047,asthmatic,illness,disease_symptom
27467,1184,asthmatic,illness,disease_symptom
27537,1254,asthmatic,illness,disease_symptom
28245,1962,virus,community,disease_disease
28424,2141,pandemic,png,disease_disease
28749,181,amino acid,arginine,drug_drug
28881,313,tmprss2,haemagglutinin,gene_gene
28916,348,tmprss2,ha,gene_disease
28945,377,tmprss2,ha,gene_gene
30133,1565,antibody,ebov infection,gene_disease
30153,1585,mbl,homology,gene_gene
30217,1649,mbl,infection,gene_disease
30789,2221,mbl,infection,gene_disease
30898,2330,ebov infection,presence,disease_treat_procedure
30908,2340,ebov infection,presence,disease_treat_procedure
30980,2412,c3 convertase,c3 convertase,gene_gene
31022,2454,mbl,viral infection,gene_disease
31023,2455,mbl,infection,gene_disease
31056,2488,pngase f,infection,gene_disease
31090,31,presence,viral infection,treat_procedure_disease
31101,42,infection,tunicamycin,disease_drug
31114,55,infection,tunicamycin,disease_drug
31118,59,infection,tunicamycin,disease_drug
31188,129,acidification,ebov infection,treat_procedure_disease
31221,162,mbl,ebov infection,gene_disease
31232,173,mbl,ebov,gene_disease
31233,174,mbl,ebov,gene_disease
31546,487,lectin,pattern recognition receptor,gene_gene
31548,489,lectin,multifunctional,gene_gene
31668,609,mbl,ebov,gene_disease
31699,640,virus,type,disease_disease
31779,720,mbl,virus,gene_disease
31876,817,mbl,actin filament,gene_gene
32050,991,ebov,virus infection,disease_disease
32052,993,mbl,ebov,gene_disease
32053,994,ebov,virus infection,disease_disease
32055,996,ebov,infection,disease_disease
32059,1000,virus,mbl,disease_gene
32067,1008,ebov,virus infection,disease_disease
32075,1016,ebov,infection,disease_disease
32084,1025,virus,mbl,disease_gene
32466,1407,mbl,viral infection,gene_disease
32482,1423,mbl,complement,gene_gene
32503,1444,mbl,complement,gene_gene
32505,1446,mbl,infection,gene_disease
32514,1455,mbl,complement,gene_gene
32532,1473,mbl,liver,gene_disease
32566,1507,mbl,liver,gene_disease
32615,1556,mbl,infection,gene_disease
32622,1563,gps,mannose,gene_drug
33732,194,k,large,drug_gene
33742,204,k,large,drug_gene
33985,447,pt,set,gene_gene
34629,1091,mail,emerging infectious disease,gene_disease
34641,1103,mail,infectious disease,gene_disease
34682,1144,mail,disease,gene_disease
34689,1151,mail,emerging disease,gene_disease
37574,2221,finding,influenza virus infection,symptom_disease
37585,2232,elevation,critical,treat_procedure_disease
37598,2245,pi3k,mouse,gene_species
37605,2252,pi3k,mouse,gene_species
37702,2349,treatment,a,treat_procedure_disease
37710,2357,virus infection,mouse,disease_species
38761,988,helicobacter pylorus infection,human,disease_species
38765,992,neoplasm,stomach,disease_disease
39141,1368,malignancy,surgical excision,disease_treat_procedure
39163,1390,malignancy,surgical excision,disease_treat_procedure
39196,1423,malignancy,excision,disease_treat_procedure
39197,1424,malignancy,excision,disease_treat_procedure
39208,1435,presence,carcinoma,treat_procedure_disease
39748,90,tumor,surgical,disease_treat_procedure
40759,168,expression,gene,treat_procedure_gene
40778,187,expression,gene,treat_procedure_gene
40929,338,expression,expression,treat_procedure_treat_procedure
41072,481,expression,expression,treat_procedure_treat_procedure
41356,765,expression,mhv infection,treat_procedure_disease
41521,930,stat1,histone acetyltransferase,gene_gene
41737,1146,t. gondii infection,cns,disease_disease
41796,1205,ifn β,autophagy,gene_gene
41878,1287,expression,gene,treat_procedure_gene
41889,1298,expression,gene,treat_procedure_gene
42142,1551,cdna,rna,gene_disease
44248,706,virus,large,disease_gene
44514,972,nsp1,protein,gene_gene
44673,1131,nsp1,protein,gene_gene
44821,1279,virus,disease,disease_disease
44826,1284,virus,mhv infection,disease_disease
44828,1286,virus,mhv infection,disease_disease
44834,1292,virus,disease,disease_disease
44840,1298,virus,mhv infection,disease_disease
44842,1300,acute hepatitis,encephalitis,disease_disease
44843,1301,virus,disease,disease_disease
44844,1302,virus,mhv infection,disease_disease
44866,1324,hepatitis,encephalitis,disease_disease
44883,1341,virus,disease,disease_disease
45227,1685,pgpt,nsp1,gene_gene
45887,2345,co-infection,ph1n1,disease_disease
45956,2414,viral pneumonia,co-infection,disease_disease
46022,2480,co-infection,ph1n1,disease_disease
46030,2488,co-infection,rsv,disease_disease
46074,34,coronavirus,rna virus,disease_disease
46166,126,disease,cat,disease_species
46332,292,light,cat,gene_species
46388,348,rna,extracted,disease_treat_procedure
46395,355,rna,effusion,disease_disease
47000,960,coronaviruses,ifn,disease_gene
47015,975,coronaviruses,ifn,disease_gene
47028,988,coronaviruses,ifn,disease_gene
47038,998,coronaviruses,ifn,disease_gene
47279,1239,sars cov,host,disease_gene
47450,1410,measles,damage,disease_gene
47467,1427,measles,damage,disease_gene
47618,1578,vaccination,smallpox,treat_procedure_disease
47656,1616,vaccine,people,disease_species
47779,1739,syndrome,sars epidemic,disease_disease
47788,1748,severe acute respiratory syndrome,disease,disease_disease
47797,1757,respiratory syndrome,sars epidemic,disease_disease
47804,1764,syndrome,infectious disease,disease_disease
47809,1769,severe acute respiratory syndrome,sars epidemic,disease_disease
47826,1786,acute respiratory syndrome,infectious disease,disease_disease
47831,1791,severe acute respiratory syndrome,infectious disease,disease_disease
47844,1804,acute respiratory syndrome,sars epidemic,disease_disease
47846,1806,acute respiratory syndrome,disease,disease_disease
47850,1810,respiratory syndrome,sars epidemic,disease_disease
47853,1813,syndrome,disease,disease_disease
47865,1825,respiratory syndrome,disease,disease_disease
47867,1827,respiratory syndrome,infectious disease,disease_disease
47869,1829,acute respiratory syndrome,sars epidemic,disease_disease
47871,1831,syndrome,sars epidemic,disease_disease
47876,1836,severe acute respiratory syndrome,sars epidemic,disease_disease
47964,1924,human papillomavirus,antibody,disease_gene
48096,2056,hepatitis b,infection,disease_disease
48440,327,virus,fpr,disease_disease
48569,456,phe,receptor,drug_gene
48649,536,dp178,fpr,gene_disease
48738,625,coronaviruses,infection,disease_disease
48764,651,fpr,virus,disease_disease
48787,674,fpr,viral infection,disease_disease
48790,677,fpr,infection,disease_disease
49263,1150,formyl peptide receptor,receptor,gene_gene
49317,1204,ebola virus,membrane region,disease_gene
49349,1236,fpr,presence,disease_treat_procedure
49719,216,prrsv,virus,disease_disease
50461,958,light,gene,gene_gene
50566,1063,stimulation,lp,treat_procedure_gene
50568,1065,stimulation,prrsv,treat_procedure_disease
50585,1082,tlrs,prrsv infection,gene_disease
51109,1606,renin,step,gene_gene
51227,1724,renin,ra,gene_gene
51350,1847,renin,renin,gene_gene
51564,2061,ace,set,drug_gene
51568,2065,hypertension,ace,disease_drug
51657,2154,ace2,receptor,gene_gene
51663,2160,ace2,receptor,gene_gene
52306,353,albuminuria,damage,disease_gene
52323,370,albuminuria,damage,disease_gene
52341,388,angiotensin ii,injury,drug_disease
52359,406,angiotensin ii,renal injury,drug_disease
52366,413,angiotensin ii,expression,drug_treat_procedure
52939,986,virus,rabbit,disease_species
52958,1005,virus,tumor,disease_disease
53623,1670,ribavirin,cpe,drug_disease
53625,1672,ribavirin,cpe,drug_disease
53816,1863,reduction,cpe,treat_procedure_disease
53853,1900,infection,sars cov,disease_disease
54191,2238,therapy,anemia,treat_procedure_disease
54382,2,igg,horseradish peroxidase,gene_gene
54787,407,virus,influenza virus,disease_disease
54892,512,virus,influenza virus,disease_disease
56847,824,antibody,spike protein,gene_gene
57025,1002,s1,host cell receptor,drug_gene
57275,1252,hev,human,drug_species
57313,1290,niv,human,disease_species
57315,1292,virus,receptor,disease_gene
57334,1311,hev,human,drug_species
57337,1314,niv,human,disease_species
57358,1335,rbd protein,critical,gene_disease
57439,1416,hepatocyte,hcv,gene_disease
58277,2254,he,founder,disease_disease
58304,2281,he,working,disease_species
58342,2319,he,working,disease_species
58597,221,he,patient,disease_species
58600,224,he,patient,disease_species
58665,289,he,man,disease_species
58759,383,he,finding,disease_symptom
58979,603,he,patient,disease_species
59292,916,schistosomiasis,chikungunya virus,disease_disease
59428,1052,gene,virus,gene_disease
59439,1063,gene,virus,gene_disease
59600,1224,rank,disorder,gene_disease
59750,1374,c,disorder,disease_disease
59754,1378,c,intrinsic disorder,disease_disease
59756,1380,c,intrinsic disorder,disease_disease
59757,1381,c,disorder,disease_disease
60270,1894,virus,disorder,disease_disease
60766,313,trizol,h2o,drug_drug
60799,346,i,acid,drug_drug
60806,353,i,nucleic acid,drug_gene
61224,771,bracovirus,ichnovirus,disease_disease
61249,796,bracovirus,ichnovirus,disease_disease
61431,978,bocaviruses,group 2,disease_gene
62454,2001,exosome,body,gene_gene
62456,2003,zap,recruitment,gene_disease
62673,172,eif3,40 ribosomal subunit,gene_gene
63161,660,tax protein,subunit,gene_gene
63312,811,murine coronavirus,mouse hepatitis virus,disease_disease
63315,814,coronavirus,mouse hepatitis virus,disease_disease
63321,820,virus,nuclease,disease_gene
63436,935,expression,vhs,treat_procedure_gene
63756,1255,overlap,np,treat_procedure_disease
64147,1646,finding,induction,symptom_treat_procedure
64183,1682,finding,hcv,symptom_disease
64316,1815,rna virus,detection,disease_treat_procedure
64757,2256,antibody,vaccination,gene_treat_procedure
64828,2327,reassortant virus,gene,disease_gene
65358,59,vaccination,paralysis,treat_procedure_disease
65464,165,infection,pandemic influenza,disease_disease
65892,593,tl,cysteine proteinase,disease_gene
65908,609,tl,cysteine proteinase,disease_gene
66110,811,enterobactin,ex-fabp,gene_gene
66126,827,virulence factor,apec,gene_disease
66144,845,expression,bronchitis coronavirus,treat_procedure_disease
66147,848,infection,expression,disease_treat_procedure
66148,849,expression,infectious bronchitis coronavirus,treat_procedure_disease
66149,850,expression,infectious bronchitis coronavirus,treat_procedure_disease
66150,851,expression,bronchitis coronavirus,treat_procedure_disease
66177,878,ex-fabp,fat,gene_gene
66680,41,coronaviruses,large,disease_gene
66686,47,coronaviruses,large,disease_gene
66697,58,virus,human,disease_species
66708,69,coronaviruses,large,disease_gene
66761,122,n protein,rna,gene_disease
66773,134,antibody,patient,gene_species
66774,135,n protein,nucleocapsid,gene_gene
66993,354,ifnγ,tnfα,gene_gene
66994,355,ifnγ,tnfα,gene_gene
66996,357,ifnγ,tnfα,gene_gene
66999,360,ifnγ,tnfα,gene_gene
67012,373,ifnγ,tnfα,gene_gene
67209,570,t cell,clearance,gene_treat_procedure
67856,1217,supplementation,genital,treat_procedure_disease
68842,78,sphingolipids,critical,drug_disease
68970,206,c. pneumoniae,respiratory tract infection,disease_disease
69562,798,pneumonia,respiratory distress,disease_disease
69571,807,pneumonia,respiratory distress,disease_disease
69576,812,pneumonia,respiratory distress,disease_disease
69648,884,emerging disease,human,disease_species
69720,956,disease,human,disease_species
69736,972,h5n1,h9n2,disease_disease
69759,995,emerging disease,human,disease_species
69771,1007,viral disease,human,disease_species
69776,1012,disease,human,disease_species
69783,1019,virus,influenza virus,disease_disease
69785,1021,disease,human,disease_species
69792,1028,viral disease,human,disease_species
69812,1048,virus,avian influenza virus,disease_disease
69818,1054,h5n1,h9n2,disease_disease
69908,1144,inflammation,edema,disease_disease
70051,1287,igm antibody,m. pneumoniae,gene_disease
70196,1432,pneumoniae,patient,disease_species
70199,1435,pneumoniae,patient,disease_species
70238,1474,igm antibody,infection,gene_disease
70830,46,tmh v,rhodopsin,gene_gene
71002,218,w190,w190,gene_gene
71022,238,infection,s. aureus,disease_species
71141,357,sars,respiratory virus infection,disease_disease
71145,361,influenza,respiratory virus infection,disease_disease
71200,416,sars,hla,disease_gene
71280,496,coronaviruses,virus,disease_disease
71363,579,hcov nl63,virus,gene_disease
71364,580,hcov nl63,respiratory tract disease,gene_disease
71436,652,coronavirus,nl63,disease_gene
71465,681,nl63,nl63,gene_gene
71504,720,antibody,detected,gene_treat_procedure
71557,773,goat anti-hcov-229e antibody,protein,gene_gene
71583,799,goat anti-hcov-229e antibody,recombinant protein,gene_gene
71612,828,virus,infant,disease_species
72251,1467,all,chlamydia pneumoniae,gene_species
72545,21,severe acute respiratory syndrome,rna virus,disease_disease
72556,32,acute respiratory syndrome,rna virus,disease_disease
72628,104,nsp1,induction,gene_treat_procedure
72945,421,luciferase,egfp,gene_gene
73757,1233,coronaviruses,human,disease_species
74853,231,angiotensin converting enzyme 2,ra,gene_gene
74881,259,ace2,patient,gene_species
75255,633,treatment,hyperglycemia,treat_procedure_disease
75384,762,renal fibrosis,treatment,disease_treat_procedure
75388,766,fibrosis,treatment,disease_treat_procedure
75393,771,fibrosis,treatment,disease_treat_procedure
75402,780,renal fibrosis,treatment,disease_treat_procedure
75535,913,ang ii,ace2,gene_gene
75539,917,ace2,participant,gene_species
75550,928,treatment,ang ii,treat_procedure_gene
75640,1018,hyperglycemia,nephropathy,disease_disease
76105,1483,ns1,np1,gene_gene
76128,1506,ns1,np1,gene_gene
76131,1509,hbov1,lrtis,gene_disease
76136,1514,hbov1,lrtis,gene_disease
76137,1515,hbov1,lrtis,gene_disease
76207,1585,detection,blood,treat_procedure_disease
76311,1689,respiratory virus,hrv,disease_disease
76334,1712,virus,hrv,disease_disease
76398,1776,hbov1,detected,gene_treat_procedure
76681,124,lrtis,hbov,disease_disease
76840,283,virus,flua,disease_gene
76842,285,virus,influenza a,disease_disease
76843,286,influenza a,b,disease_disease
76911,354,cirrhosis,liver disease,disease_disease
76924,367,biliary cirrhosis,autoimmune liver disease,disease_disease
76929,372,cirrhosis,autoimmune liver disease,disease_disease
76930,373,biliary cirrhosis,liver disease,disease_disease
76959,402,progressive disease,patient,disease_species
76966,409,disease,patient,disease_species
76975,418,immunosuppression,patient,disease_species
76977,420,immunosuppression,patient,disease_species
77091,534,immunosuppression,reduction,disease_treat_procedure
77460,903,virus,liver,disease_disease
77542,985,anti-retroviral therapy,patient,treat_procedure_species
77543,986,therapy,patient,treat_procedure_species
77550,993,anti-retroviral therapy,patient,treat_procedure_species
77552,995,therapy,patient,treat_procedure_species
77553,996,anti-retroviral therapy,patient,treat_procedure_species
77555,998,therapy,patient,treat_procedure_species
77558,1001,therapy,patient,treat_procedure_species
77563,1006,anti-retroviral therapy,patient,treat_procedure_species
77602,1045,betaretrovirus,cholangitis,disease_disease
78030,1473,hiv,cyclophilins,disease_gene
78034,1477,virus,target cell,disease_gene
78035,1478,virus,cyclophilins,disease_gene
78036,1479,virus,target cell,disease_gene
78038,1481,virus,cyclophilins,disease_gene
78042,1485,hiv,csa,disease_drug
78184,1627,ibv,spike,disease_gene
78190,1633,s protein,s1,gene_drug
78192,1635,s protein,s1,gene_drug
78242,1685,ib,vaccination,disease_treat_procedure
78246,1689,ib,epidemic,disease_disease
78257,1700,ib,vaccination,disease_treat_procedure
78493,1936,s1 gene,k2,gene_gene
78697,2140,ibv,3a,disease_gene
78701,2144,3a,3a protein,gene_gene
78735,2178,ibv,k,disease_drug
78925,119,virus,presence,disease_treat_procedure
79104,298,lyme neuroborreliosis,ab,disease_gene
79126,320,lyme neuroborreliosis,antibody,disease_gene
79137,331,detection,csf,treat_procedure_gene
79158,352,poliomyelitis,virus,disease_disease
79165,359,encephalitis,virus,disease_disease
79166,360,acute poliomyelitis,virus,disease_disease
79241,435,ab,patient,gene_species
79251,445,ab,patient,gene_species
79267,461,csf,virus,gene_disease
79268,462,csf,virus,gene_disease
79271,465,csf,ab,gene_gene
79274,468,csf,ab,gene_gene
79284,478,ab,m,gene_disease
79442,636,presence,cns,treat_procedure_disease
79465,659,presence,cns,treat_procedure_disease
79472,666,presence,cns,treat_procedure_disease
79522,716,asc,cns,gene_disease
79524,718,asc,cns,gene_disease
79529,723,asc,cns,gene_disease
79536,730,asc,cns,gene_disease
79604,798,hepatitis,intracranial infection,disease_disease
79608,802,hepatitis,intracranial infection,disease_disease
79636,830,hepatitis,infection,disease_disease
79637,831,virus,oligodendroglia,disease_disease
79638,832,hepatitis,rare,disease_gene
79644,838,hepatitis,infection,disease_disease
79651,845,virus,oligodendroglia,disease_disease
79656,850,rna,infection,disease_disease
79718,912,fever,arthralgia,disease_disease
79720,914,fever,headache,disease_disease
79721,915,fever,myalgia,disease_disease
79725,919,fever,myalgia,disease_disease
79727,921,sfv,fever,disease_disease
79729,923,fever,arthralgia,disease_disease
79730,924,fever,headache,disease_disease
79731,925,sfv,human,disease_species
79761,955,post-exposure prophylaxis,administration,treat_procedure_treat_procedure
79774,968,post-exposure prophylaxis,administration,treat_procedure_treat_procedure
79779,973,prophylaxis,administration,treat_procedure_treat_procedure
79797,991,prophylaxis,administration,treat_procedure_treat_procedure
79887,1081,virus,cns,disease_disease
80020,1214,virus,cns,disease_disease
80051,1245,ab,60,gene_drug
80268,1462,ab,glycoprotein,gene_gene
80271,1465,ab,glycoprotein,gene_gene
80405,1599,ab,demyelination,gene_disease
80716,1910,igg,cns,gene_disease
80755,1949,asc,s,gene_disease
80825,2019,asc,detected,gene_treat_procedure
80826,2020,asc,cns,gene_disease
80978,2172,cxcl10,critical,gene_disease
80980,2174,cxcl10,asc,gene_gene
80983,2177,cxcl10,cns,gene_disease
81004,2198,cxcr3,receptor,gene_gene
81066,2260,rv infection,microglia,disease_disease
81068,2262,rv infection,microglia,disease_disease
81498,2692,cd8,mouse,gene_species
81827,250,viral infection,detected,disease_treat_procedure
81831,254,infection,detected,disease_treat_procedure
82135,558,rsv,viral,disease_disease
82269,692,influenza pandemic,pandemic,disease_disease
83060,1483,treatment,sinusitis,treat_procedure_disease
83108,1531,treatment,bacterial sinusitis,treat_procedure_disease
83175,1598,anosmia,nasal discharge,disease_disease
83192,1615,nasal symptom,treatment,disease_treat_procedure
83198,1621,anosmia,discharge,disease_symptom
83214,1637,treatment,α,treat_procedure_drug
83299,1722,influenza a,virus,disease_disease
83497,1920,influenza b,virus,disease_disease
83600,2023,influenza a,virus,disease_disease
83604,2027,influenza b,virus,disease_disease
83613,2036,influenza b,virus,disease_disease
83827,200,influenza,infection,disease_disease
83856,229,influenza,respiratory infection,disease_disease
83894,267,influenza,acute infection,disease_disease
83962,335,influenza,acute respiratory infection,disease_disease
83990,363,influenza,fever,disease_disease
84108,481,influenza b virus,ifn,disease_gene
84309,682,impact,ed,gene_disease
84325,698,impact,ed,gene_disease
84871,1244,virus,disease,disease_disease
84900,1273,virus,disease,disease_disease
84945,1318,nipah,hamster,disease_species
84968,1341,hendra,hamster,disease_species
84977,1350,nipah,hamster,disease_species
84987,1360,paramyxovirus,hamster,disease_species
84990,1363,paramyxovirus,hamster,disease_species
84991,1364,hendra,hamster,disease_species
85240,1613,virus,specie,disease_species
85534,91,antibody,mouse,gene_species
85708,265,vlps,iav,gene_disease
85805,362,virus,avian,disease_disease
86097,654,treatment,expression,treat_procedure_treat_procedure
87047,1604,u,disease,disease_disease
87053,1610,u,infectious disease,disease_disease
88244,458,inclusion,treatment,gene_treat_procedure
88811,1025,host,mapk,gene_gene
89034,1248,oa,protein,disease_gene
89037,1251,oa,protein,disease_gene
89249,1463,rna,extracted,disease_treat_procedure
89272,1486,rna,rna,disease_disease
90239,189,rtis,child,disease_species
90314,264,rtis,child,disease_species
90426,376,detection,human herpesvirus 6,treat_procedure_disease
90557,507,respiratory virus,child,disease_species
90558,508,respiratory virus,child,disease_species
90560,510,respiratory virus,detected,disease_treat_procedure
90563,513,virus,child,disease_species
90565,515,virus,detected,disease_treat_procedure
90576,526,virus,child,disease_species
90645,595,rna,sybr green,disease_drug
90648,598,rna,mass,disease_gene
91563,1513,2,influenza,drug_disease
91958,1908,hcov,detected,drug_treat_procedure
92050,2000,rsv,detected,disease_treat_procedure
92083,2033,hrv,detected,disease_treat_procedure
92241,87,hbov,respiratory tract disease,disease_disease
92268,114,hrv,detected,disease_treat_procedure
92366,212,rsv,detected,disease_treat_procedure
92416,262,virus,detected,disease_treat_procedure
