,Unnamed: 0.1,subject,object,new_relation
227030,393,step,coronaviruses,gene_disease
228037,1400,disease,end,disease_gene
228038,1401,disease,end,disease_gene
228075,1438,virus,inoculation,disease_treat_procedure
228723,2086,pi,virus,gene_disease
229964,1230,infiltration,infection,treat_procedure_disease
230014,1280,lymphocytic infiltration,infection,disease_disease
230302,1568,infection,disease,disease_disease
230306,1572,chronic disease,virus,disease_disease
230336,1602,inflammatory disease,virus,disease_disease
230361,1627,disease,virus,disease_disease
230421,1687,chronic inflammatory disease,virus,disease_disease
230662,1928,influenza,herpes simplex,disease_disease
230782,2048,disease,infection,disease_disease
230989,2255,virus,same,disease_disease
231236,210,finding,opportunistic infection,symptom_disease
231238,212,finding,infection,symptom_disease
231242,216,finding,opportunistic bacterial infection,symptom_disease
231248,222,finding,bacterial infection,symptom_disease
231257,231,finding,opportunistic bacterial infection,symptom_disease
231262,236,finding,infection,symptom_disease
231268,242,finding,bacterial infection,symptom_disease
231269,243,finding,opportunistic infection,symptom_disease
231286,260,change,infiltration,treat_procedure_treat_procedure
231485,459,damage,lymphocyte depletion,gene_treat_procedure
231497,471,diffuse alveolar damage,lymphocyte depletion,disease_treat_procedure
231614,588,treatment,cell type,treat_procedure_gene
231709,683,immunosuppression,white blood cell,disease_gene
231716,690,immunosuppression,blood cell,disease_gene
233348,310,regression,set,disease_gene
234203,1165,matrix,set,treat_procedure_gene
236860,412,protein,cell,gene_gene
237086,638,coronaviruses,ii,disease_gene
238173,1725,infection,infection,disease_disease
238175,1727,viral infection,bacterial infection,disease_disease
238181,1733,viral infection,infection,disease_disease
238182,1734,viral infection,secondary infection,disease_disease
238185,1737,virus,pneumonia,disease_disease
238188,1740,infection,secondary infection,disease_disease
238189,1741,infection,bacterial infection,disease_disease
238629,180,hair loss,reduction,disease_treat_procedure
238676,227,reduction,brain,treat_procedure_disease
239106,657,administration,brain,treat_procedure_disease
239109,660,administration,expression,treat_procedure_treat_procedure
239113,664,administration,expression,treat_procedure_treat_procedure
239116,667,administration,brain,treat_procedure_disease
239120,671,administration,brain,treat_procedure_disease
239123,674,administration,brain,treat_procedure_disease
240108,1659,emmprin,liver,gene_disease
240413,1964,antiretroviral therapy,reduction,treat_procedure_treat_procedure
240451,2002,therapy,reduction,treat_procedure_treat_procedure
240516,2067,infection,expression,disease_treat_procedure
241686,401,disease,infection,disease_disease
241840,555,disease,vaccination,disease_treat_procedure
243190,434,fractionation,isolation,treat_procedure_treat_procedure
244104,1348,sex,sex,gene_gene
244105,1349,sex,sex,gene_gene
244106,1350,sex,sex,gene_gene
244107,1351,sex,sex,gene_gene
244108,1352,sex,sex,gene_gene
244112,1356,sex,sex,gene_gene
245531,361,12,infection,gene_disease
245536,366,12,infection,gene_disease
248919,1449,integral membrane protein,cytoplasmic domain,gene_gene
251630,513,expression,protein,treat_procedure_gene
252449,1332,16,presence,gene_treat_procedure
252787,1670,monolayers,vaccinia virus,drug_disease
252788,1671,monolayers,recombinant vaccinia virus,drug_disease
252794,1677,monolayers,vaccinia virus,drug_disease
252802,1685,monolayers,recombinant vaccinia virus,drug_disease
253087,1970,protein,cytoplasm,gene_gene
253101,1984,protein,cytoplasm,gene_gene
253104,1987,protein,cytoplasm,gene_gene
253105,1988,protein,detected,gene_treat_procedure
253598,105,protein,wash,gene_gene
254130,637,virus,cell,disease_gene
254131,638,virus,cell,disease_gene
254132,639,virus,cell,disease_gene
254136,643,virus,cell,disease_gene
254139,646,virus,cell,disease_gene
254141,648,virus,cell,disease_gene
254146,653,virus,cell,disease_gene
254147,654,virus,cell,disease_gene
254550,1057,infection,severe diarrhea,disease_symptom
254553,1060,infection,diarrhea,disease_symptom
256474,1041,infection,set,disease_gene
259047,1995,aim,grip,gene_disease
261932,2695,induction,detection,treat_procedure_treat_procedure
262635,648,tumor suppressor,p53,gene_gene
262710,723,coronavirus infection,expression,disease_treat_procedure
265809,865,protein,presence,gene_treat_procedure
265834,890,protein,presence,gene_treat_procedure
266704,540,a,dengue,gene_disease
266705,541,a,dengue,gene_disease
266707,543,a,dengue,gene_disease
266710,546,a,dengue,gene_disease
269210,347,change,therapy,treat_procedure_treat_procedure
272377,1028,pneumonia,renal failure,disease_disease
272536,1187,presence,lung,treat_procedure_disease
272713,1364,labored breathing,lung,symptom_disease
273679,165,presence,lung,treat_procedure_disease
275202,1688,nsp3,membrane,gene_gene
277733,52,virus,specie,disease_species
279940,584,kobuvirus,detected,disease_treat_procedure
279972,616,ferret kobuvirus,detected,disease_treat_procedure
280158,802,papillomavirus,papillomaviruses,disease_disease
280570,1214,homology,coronavirus,gene_disease
280644,1288,coronavirus,kobuvirus,disease_disease
280648,1292,kobuvirus,kobuvirus,disease_disease
280649,1293,ferret kobuvirus,bovine kobuvirus,disease_disease
280661,1305,kobuvirus,bovine kobuvirus,disease_disease
280684,1328,ferret kobuvirus,kobuvirus,disease_disease
281421,2065,induction,abortion,treat_procedure_treat_procedure
282439,150,enteritis,fever,disease_symptom
282843,554,malaria,fever,disease_symptom
283001,712,light,malaria,gene_disease
283041,752,light,malaria,gene_disease
284147,1858,supramolecular activation cluster,supramolecular activation cluster,gene_gene
286024,982,syndrome,influenza virus,disease_disease
286033,991,syndrome,influenza virus,disease_disease
286069,1027,syndrome,influenza virus,disease_disease
286094,1052,syndrome,influenza virus,disease_disease
290149,1286,pneumonia,critical illness,disease_disease
290150,1287,pneumonia,critical illness,disease_disease
290156,1293,pneumonia,illness,disease_symptom
290161,1298,pneumonia,illness,disease_symptom
294205,1790,formula,ii,treat_procedure_gene
294206,1791,formula,ii,treat_procedure_gene
298239,1098,virus infection,claudin 2,disease_gene
298241,1100,virus infection,expression,disease_treat_procedure
300078,910,treatment,human influenza,treat_procedure_disease
300266,1098,avian influenza,mechanical ventilation,disease_treat_procedure
300267,1099,therapy,avian influenza,treat_procedure_disease
309223,571,virus,specie,disease_species
310335,1683,co-infections,co-infections,disease_disease
310923,2271,expression,impact,treat_procedure_gene
312946,1610,rubella virus,measles,disease_disease
313251,1915,fuse,plasma membrane,gene_gene
313907,2571,u,peptide,disease_gene
313913,2577,u,insulin,disease_gene
314414,308,peptide,insulin,gene_gene
315595,45,virus,infection,disease_disease
315967,417,immunosuppression,structural analysis,disease_treat_procedure
321010,1211,virus,protein,disease_gene
321827,2028,diarrhea,anorexia,symptom_disease
323176,130,virus,paramyxovirus,disease_disease
323182,136,virus,coronavirus,disease_disease
325609,617,protein,virus infection,gene_disease
326144,1152,expression,protein,treat_procedure_gene
326145,1153,expression,recombinant protein,treat_procedure_gene
326875,1883,influenza,infection,disease_disease
327010,91,aim,prevention,gene_treat_procedure
327030,111,aim,prevention,gene_treat_procedure
327584,665,astroviruses,disease,disease_disease
331023,612,asthma,disease,disease_disease
331048,637,asthma,disease,disease_disease
331223,812,wheezing,disease,symptom_disease
331239,828,illness,treatment,symptom_treat_procedure
331268,857,illness,guidance,symptom_treat_procedure
331280,869,zoonosis,arbovirus,disease_disease
331283,872,zoonosis,arbovirus,disease_disease
333170,2759,disease,coronavirus,disease_disease
333903,471,virus,betacoronaviruses,disease_disease
335338,1906,attachment,virus infection,treat_procedure_disease
335340,1908,attachment,virus infection,treat_procedure_disease
335345,1913,attachment,virus infection,treat_procedure_disease
336318,913,pseudogene,chromosome 13,gene_gene
336570,1165,expression,viral infection,treat_procedure_disease
336585,1180,expression,infection,treat_procedure_disease
336599,1194,expression,viral infection,treat_procedure_disease
336640,1235,expression,induction,treat_procedure_treat_procedure
336641,1236,expression,induction,treat_procedure_treat_procedure
336666,1261,expression,infection,treat_procedure_disease
336985,1580,virion,protein,gene_gene
337019,1614,virus,infection,disease_disease
337044,1639,virus,severe infection,disease_disease
338706,1495,virion,nucleocapsid,gene_gene
341113,2135,peptide,virus,gene_disease
342975,3997,administration,infection,treat_procedure_disease
343196,4218,inoculation,vaccinia virus,treat_procedure_disease
343655,192,construction,cloning,treat_procedure_gene
343663,200,construction,cloning,treat_procedure_gene
344068,605,condition,condition,disease_disease
344485,1022,infection,disease,disease_disease
344514,1051,infection,therapy,disease_treat_procedure
344522,1059,infection,parenteral therapy,disease_treat_procedure
344525,1062,infection,parenteral therapy,disease_treat_procedure
344529,1066,infection,therapy,disease_treat_procedure
344538,1075,infection,glucocorticoid therapy,disease_treat_procedure
344541,1078,infection,glucocorticoid therapy,disease_treat_procedure
345231,330,aim,infection,gene_disease
346495,1594,influenza,cell,disease_gene
346499,1598,influenza,cell,disease_gene
346727,215,she,me,gene_disease
351392,23,atrial standstill,atrial standstill,disease_disease
351617,248,early identification,step,treat_procedure_gene
352251,882,presence,implantation,treat_procedure_treat_procedure
352908,1539,biventricular pacing,cardiac resynchronization therapy,treat_procedure_treat_procedure
352992,1623,biventricular pacing,cardiac resynchronization therapy,treat_procedure_treat_procedure
355253,786,immunization,adenovirus,treat_procedure_disease
358792,1012,expression,virus,treat_procedure_disease
359014,1234,virus,encephalitis,disease_disease
361268,1407,infection,severe acute respiratory syndrome coronavirus,disease_disease
361312,1451,disease,disease,disease_disease
361330,1469,immunological disease,cardiovascular disease,disease_disease
361347,1486,disease,cardiovascular disease,disease_disease
361360,1499,immunological disease,disease,disease_disease
362907,899,roseola,fever,disease_symptom
362910,902,roseola,fever,disease_symptom
362912,904,roseola,fever,disease_symptom
366971,446,presence,infection,treat_procedure_disease
367162,637,anesthesia,inoculation,symptom_treat_procedure
367166,641,anesthesia,inoculation,symptom_treat_procedure
367540,1015,forward primer,reverse primer,gene_gene
367544,1019,forward primer,reverse primer,gene_gene
367554,1029,forward primer,reverse primer,gene_gene
368409,1884,intranasal administration,expression,treat_procedure_treat_procedure
368435,1910,administration,expression,treat_procedure_treat_procedure
368685,2160,betacoronavirus,group b,disease_disease
369583,729,virus,fuse,disease_gene
369586,732,virus,fuse,disease_gene
369588,734,cell,virus,gene_disease
369594,740,virus,fuse,disease_gene
370660,1806,set,specie,gene_species
374998,837,probe,detected,gene_treat_procedure
376612,862,lentiviruses,protein,disease_gene
377415,1665,amino acid,amino acid,gene_gene
378295,2545,virus,detected,disease_treat_procedure
380607,1853,pneumonia,respiratory distress syndrome,disease_disease
380608,1854,pneumonia,acute respiratory distress syndrome,disease_disease
381883,906,infection,detected,disease_treat_procedure
383029,2052,avian influenza,detected,disease_treat_procedure
383117,2140,influenza,detected,disease_treat_procedure
383258,2281,influenza,infection,disease_disease
383259,2282,avian influenza,infection,disease_disease
385584,614,overlap,12,treat_procedure_gene
388159,1095,induction,presence,treat_procedure_treat_procedure
388246,1182,expression,caspase 1,treat_procedure_gene
389149,2085,induction,presence,treat_procedure_treat_procedure
389150,2086,presence,infection,treat_procedure_disease
390351,746,influenza virus,detected,disease_treat_procedure
392751,511,headache,malaise,symptom_symptom
392753,513,headache,malaise,symptom_symptom
392754,514,headache,muscle ache,symptom_symptom
392756,516,headache,muscle ache,symptom_symptom
392758,518,headache,muscle ache,symptom_symptom
392759,519,headache,general malaise,symptom_symptom
392760,520,headache,general malaise,symptom_symptom
392761,521,headache,malaise,symptom_symptom
392762,522,headache,general malaise,symptom_symptom
393132,892,fever,symptom,symptom_symptom
394079,532,light,coronavirus,gene_disease
394093,546,light,coronavirus,gene_disease
394098,551,light,coronavirus,gene_disease
395074,106,subunit,subunit,gene_gene
395300,332,virus infection,induction,disease_treat_procedure
395364,396,co-infection,induction,disease_treat_procedure
395421,453,stimulation,infection,treat_procedure_disease
395426,458,stimulation,infection,treat_procedure_disease
397291,124,muscle weakness,fatigue,disease_symptom
397292,125,muscle weakness,pain,disease_symptom
397298,131,muscle weakness,memory loss,disease_symptom
399084,1917,virus,detected,disease_treat_procedure
402659,317,expression,nucleus,treat_procedure_gene
403137,795,induction,induction,treat_procedure_treat_procedure
403220,878,expression,animal model,treat_procedure_species
403229,887,expression,animal model,treat_procedure_species
404070,1728,protein,detected,gene_treat_procedure
404194,1852,n,detected,treat_procedure_treat_procedure
404199,1857,n,change,treat_procedure_treat_procedure
404942,681,expression,expression,treat_procedure_treat_procedure
405160,899,aspiration pneumonia,12,disease_gene
407060,2799,she,pneumonia,gene_disease
411570,10,light,12,gene_gene
411776,216,alphacoronavirus,betacoronavirus,disease_disease
411839,279,alphacoronavirus,detected,disease_treat_procedure
412596,1036,infection,influenza virus,disease_disease
412625,1065,impact,thymus,gene_disease
412868,1308,chronic infection,human immunodeficiency virus,disease_disease
417139,1876,infection,virus,disease_disease
417222,1959,infection,virus,disease_disease
417230,1967,infection,virus,disease_disease
417244,1981,infection,virus,disease_disease
417351,2088,diarrhea,diarrhea,symptom_symptom
417373,2110,watery diarrhea,secretory diarrhea,symptom_disease
417408,2145,watery diarrhea,diarrhea,symptom_symptom
417412,2149,diarrhea,secretory diarrhea,symptom_disease
417440,2177,presence,diarrhea,treat_procedure_symptom
417875,283,induction,viral genome,treat_procedure_gene
419315,76,cat,gingivitis,gene_disease
419463,224,cat,condition,gene_disease
422136,247,detection,virus,treat_procedure_disease
423705,153,r,same,disease_disease
425974,875,antibody,survivin,gene_gene
425978,879,monoclonal antibody,survivin,drug_gene
426485,1386,virus,genome,disease_gene
430655,516,detection,infection,treat_procedure_disease
433470,450,coronavirus,severe acute respiratory syndrome,disease_disease
433476,456,coronavirus,syndrome,disease_disease
434359,1339,colony,act,gene_gene
434971,345,core,set,gene_gene
437371,419,influenza virus,presence,disease_treat_procedure
437484,532,trachea,catheterized,disease_treat_procedure
440141,51,coronavirus,renal failure,disease_disease
440145,55,virus,coronavirus,disease_disease
440147,57,coronavirus,renal failure,disease_disease
440153,63,virus,coronavirus,disease_disease
440662,572,virus,infectious,disease_disease
440932,842,respiratory disease,extracorporeal membrane oxygenation,disease_treat_procedure
440934,844,disease,extracorporeal membrane oxygenation,disease_treat_procedure
442839,707,noroviruses,gastroenteritis,disease_disease
442850,718,noroviruses,gastroenteritis,disease_disease
442867,735,noroviruses,viral gastroenteritis,disease_disease
442888,756,noroviruses,viral gastroenteritis,disease_disease
442902,770,noroviruses,gastroenteritis,disease_disease
442904,772,noroviruses,gastroenteritis,disease_disease
442909,777,noroviruses,gastroenteritis,disease_disease
442917,785,noroviruses,viral gastroenteritis,disease_disease
442922,790,noroviruses,viral gastroenteritis,disease_disease
442923,791,noroviruses,viral gastroenteritis,disease_disease
442927,795,noroviruses,viral gastroenteritis,disease_disease
442929,797,noroviruses,viral gastroenteritis,disease_disease
442932,800,noroviruses,gastroenteritis,disease_disease
442939,807,noroviruses,viral gastroenteritis,disease_disease
442949,817,noroviruses,gastroenteritis,disease_disease
442965,833,noroviruses,gastroenteritis,disease_disease
442966,834,noroviruses,gastroenteritis,disease_disease
442978,846,noroviruses,gastroenteritis,disease_disease
442981,849,noroviruses,viral gastroenteritis,disease_disease
442985,853,noroviruses,viral gastroenteritis,disease_disease
442987,855,noroviruses,gastroenteritis,disease_disease
442991,859,noroviruses,gastroenteritis,disease_disease
442994,862,noroviruses,viral gastroenteritis,disease_disease
443000,868,noroviruses,viral gastroenteritis,disease_disease
446901,3008,repair,expression,treat_procedure_treat_procedure
446935,3042,chemical,colitis,treat_procedure_disease
446936,3043,chemical,acute colitis,treat_procedure_disease
448708,1514,virus infection,detected,disease_treat_procedure
451578,497,influenza virus,recruitment,disease_disease
451777,696,infiltration,specific immune cell,treat_procedure_gene
452296,1215,infection,influenza,disease_disease
452703,1622,encephalopathy,infection,disease_disease
454575,1102,lentiviruses,lentiviruses,disease_disease
