,Unnamed: 0.1,subject,object,new_relation
498,503,\,sickness,be_related_with
499,504,article,mental health,be_related_with
526,532,patient,chongqing three gorge central hospital,be_in
531,537,control,influenza,transmit
534,540,time,hyperglycaemia,be_related_with
543,549,mouse,sars-cov,transmit
545,551,v,cxfv,be_in
548,554,covid-19,china,be_in
550,556,mucorales,invasive disease,be_related_with
551,557,il-6,illness,be_related_with
555,561,pneumonia,illness,be_related_with
560,566,inflection,age,be_related_with
561,567,covid-19 survivor,infection,be_related_with
562,568,pcr,hbov,be_related_with
567,573,%,septic shock,be_related_with
571,577,onset,california,be_in
573,579,patient,illness,be_related_with
575,581,vaccine,critical,be_related_with
577,583,bonamanzi game reserve,zululand,be_in
582,588,death,malaria,be_related_with
594,600,respiratory secretion,covid-19,transmit
595,601,pathogen,malnutrition,be_related_with
602,608,membrane,c,transmit
603,609,nm,public,be_related_with
604,610,time,garden,be_in
609,615,%,swollen,be_related_with
624,630,h5n1 virus,mouse,transmit
657,663,time,singapore,be_in
660,666,genus,infectious haematopoietic necrosis virus,be_related_with
661,667,disease,illness,be_related_with
663,669,flying fox,indonesia,be_in
668,674,sars-cov,lung parenchyma,be_in
672,678,none,pulmonary disease,be_related_with
673,679,patient,intensive care unit,be_in
677,683,protein,hpi,be_related_with
678,684,h1n1 pandemic influenza,australia,be_in
680,686,length,tracheostomy,be_related_with
692,698,apoptosis,measles,transmit
697,703,qbd,lung inflammation,be_related_with
701,707,rt-pcr,mers-cov,be_related_with
702,708,resistance marker,p. aeruginosa,be_in
705,711,symptom,sore throat,be_related_with
710,716,washington university,st. louis,be_in
718,724,person,netherlands,be_in
722,728,frequency,lower,be_related_with
725,731,science,immunology,be_related_with
742,748,application,community,be_related_with
746,752,adhesion molecule,cns,be_related_with
749,755,airway,covid-19,transmit
755,761,ttp,infection,be_related_with
759,765,nature,cavv,treat
763,769,symptom,respiratory symptom,be_related_with
770,776,cytotoxic,edema,be_related_with
776,782,patient,illness,be_related_with
778,784,herpes simplex virus type 2,neutrophil,be_in
788,794,%,age,be_related_with
789,795,pandemic,italy,be_in
792,798,none,mouse,transmit
794,800,ah,unos,be_in
795,801,pathogen,acute respiratory syndrome coronavirus 2,be_related_with
804,810,grippe,de,treat
810,816,discovery,coronavirus,transmit
811,817,macrophage,tissue,be_in
814,820,european union,disease,be_related_with
815,821,well,rabies virus,transmit
821,827,gumma,syphilis,be_related_with
826,832,community-acquired pneumonia,massachusetts,be_in
830,836,mental health,northern ireland,be_in
836,842,cell,airway,be_in
837,843,plexus,liver,be_related_with
840,846,smith,influenza virus,transmit
841,847,symptom,congestion,be_related_with
843,849,infection,oedema,be_related_with
844,850,adenovirus,febrile,be_related_with
846,852,sensitivity,mouse,transmit
847,853,herpesviruses,infection,be_related_with
848,854,outbreak,marburg,be_in
850,856,education,infective endocarditis,be_related_with
852,858,symptom,edema,be_related_with
853,859,transferrin,age,be_related_with
861,868,antibody,h1n1 virus,be_related_with
865,872,mk michal rozin,association,be_related_with
878,886,u,medical condition,be_related_with
897,905,neutrophil,infection,be_related_with
899,907,health ministry,covid-19,transmit
912,920,pathogen,influenza,transmit
922,930,airway,influenza infection,be_related_with
924,932,high fever,china,be_in
930,938,sg mrna,model,be_in
935,943,acute gastroenteritis,united state,be_in
937,945,%,h1n1,transmit
938,946,type,sars cov,transmit
946,954,n-methyl,ham,be_related_with
950,958,cnrl,influenza,transmit
955,963,"5,6",henipavirus infection,be_related_with
958,966,infection,viraemia,be_related_with
964,972,delivery,caesarean section,be_related_with
965,973,recognition,coronavirus,transmit
967,975,infection,human,be_in
970,978,patient,mexico,be_in
971,979,idsr,india,be_in
974,982,dermatitis,chronic inflammation,be_related_with
981,989,apoptosis,enhanced,be_related_with
985,993,symptom,infection,be_related_with
989,997,patient,illness,be_related_with
1005,1013,frequency,herpes simplex virus,transmit
1011,1019,covid-19 crisis,nigeria,be_in
1015,1023,peking union medical college hospital,beijing,be_in
1016,1024,adherence,critical,be_related_with
1017,1025,control,human health,be_related_with
1020,1029,data,age,be_related_with
1025,1034,algorithm,severe acute respiratory syndrome,be_related_with
1028,1037,t3d,blood,be_related_with
1030,1039,tuberculosis,uk,be_in
1035,1044,pneumococcus,pneumonia,be_related_with
1040,1049,u,disease,be_related_with
1042,1051,data,category,be_in
1043,1052,child,beijing,be_in
1044,1053,dermatitis,chronic inflammation,be_related_with
1048,1057,united state,community,be_related_with
1050,1059,data,severe,be_related_with
1054,1063,health protection agency,age,be_related_with
1061,1070,association,israel,be_in
1063,1072,mutation,ide,be_in
1079,1088,influenza,taiwan,be_in
1081,1090,using,allergic asthma,be_related_with
1086,1095,balb/c mouse,r,transmit
1087,1096,microautophagy,mammalian cell,be_in
1090,1099,red,r,transmit
1091,1100,piv-2,bronchiolitis,be_related_with
1093,1102,niv,lung resection,be_related_with
1101,1110,none,icu,be_related_with
1106,1115,balb/c mouse,mhv,transmit
1107,1116,protein,entrez,be_in
1112,1121,patient,stool,be_in
1117,1126,pathogen,malnutrition,be_related_with
1123,1132,burden,respiratory disease,be_related_with
1126,1135,mental health,northern ireland,be_in
1127,1136,world health organization,illness,be_related_with
1132,1141,%,fever,be_related_with
1133,1142,eugenol,keratitis,be_related_with
1135,1144,recovery,mouse,transmit
1140,1149,queen,estrus,be_in
1141,1150,t3d,blood,be_related_with
1144,1153,covid-19,wuhan,be_in
1158,1167,infection,aw,be_in
1163,1172,belgium,respiratory virus,transmit
1168,1177,symptom,fever,be_related_with
1171,1180,size,lower,be_related_with
1174,1183,national family health survey,india,be_in
1181,1190,infection,covid-19,transmit
1182,1191,isobutyl,compound,be_in
1183,1192,worldwide,rna virus,be_related_with
1185,1194,rna,hpi,be_related_with
1188,1197,task force,ministry,be_related_with
1192,1201,symptom,cough,be_related_with
1195,1204,wbc,age,be_related_with
1200,1209,rhinovirus pcr,infection,be_related_with
1203,1212,sars-s,pcdna,be_in
1213,1222,worldwide,hcv,transmit
1214,1223,mk michal rozin,association,be_related_with
1218,1227,bangladesh,ds,be_related_with
1219,1228,lung,ali,be_related_with
1221,1230,demographic data,disease,be_related_with
1224,1233,mackay memorial hospital,taipei city,be_in
1226,1235,horse,australia,be_in
1234,1243,%,anxiety,be_related_with
1245,1254,foot,contagious disease,be_related_with
1246,1255,k3po4,dme,be_in
1250,1259,ferret,illness,be_related_with
1255,1264,dam,bcs,be_related_with
1256,1265,foodborne illness,human,be_in
1257,1266,china,sars,transmit
1264,1273,n,nucleolus,be_in
1266,1275,variable,type,be_related_with
1267,1276,ministry,japan,be_in
1275,1284,recombination,rna virus,be_related_with
1279,1288,inflection,age,be_related_with
1282,1291,rt-pcr,mers-cov,be_related_with
1283,1292,adenoviral pneumonia,beijing,be_in
1289,1299,data,epidemic,be_related_with
1290,1300,data,major,be_related_with
1291,1301,clearance,pneumonia,be_related_with
1293,1303,zikv,febrile illness,be_related_with
1299,1309,control,inflammation,be_related_with
1302,1312,infection,respiratory,transmit
1303,1313,united state,ari,treat
1305,1315,child,beijing,be_in
1317,1327,bat,cov infection,be_related_with
1319,1329,severe acute respiratory syndrome,illness,be_related_with
1320,1330,ave0991,chronic,be_related_with
1326,1336,cabinet,covid-19,transmit
1334,1344,onset,arc,be_in
1336,1346,respiratory illness,hrv,be_related_with
1341,1351,bat,coronavirus,transmit
1349,1359,frameshifting,e.coli,be_in
1352,1362,delivery,caesarean section,be_related_with
1355,1365,nonrebreather mask,acute respiratory distress syndrome,be_related_with
1356,1366,queen,estrus,be_in
1359,1369,protein,age,be_related_with
1382,1392,virus,h5n1 virus,be_related_with
1384,1394,pdcs,pbmc,be_in
1386,1396,rift valley fever virus,africa,be_in
1389,1399,canada,respiratory virus,transmit
1395,1405,clearance,pneumonia,be_related_with
1399,1409,climate,association,be_related_with
1400,1410,protein,gel,be_in
1403,1413,onset,california,be_in
1406,1416,membrane,poliovirus infection,be_related_with
1409,1419,swine,ohio,be_in
1410,1420,scheme,cov infection,be_related_with
1412,1422,mφs,spleen,be_in
1417,1427,pcr,infectious agent,be_related_with
1420,1431,lockdown,india,be_in
1425,1436,none,pulmonary disease,be_related_with
1429,1440,specimen,influenza,transmit
1431,1442,qol,severe sepsis,be_related_with
1435,1446,symptom,pandemic,be_related_with
1438,1449,procedure,lasv,transmit
1445,1456,woman,australia,be_in
1461,1472,bronchopneumonia,age,be_related_with
1462,1473,fetus,bvd,transmit
1469,1480,%,person,be_in
1471,1482,prevalence,high,be_related_with
1474,1485,s. dublin,pneumonia,be_related_with
1477,1488,pandemic influenza,china,be_in
1482,1493,msm,new york,be_in
1489,1500,patient,control group,be_in
1490,1501,sickness,neonate,be_in
1506,1517,group 3,infectious bronchitis virus,transmit
1508,1519,european medicine agency,covid-19,transmit
1509,1520,hubei,china,be_in
1513,1524,genbank,hcv,transmit
1515,1526,wuhan province,china,be_in
1520,1531,route,infection,be_related_with
1528,1539,apoptosis,enhanced,be_related_with
1531,1542,symptom,depression,be_related_with
1542,1553,chill,dyspnea,be_related_with
1545,1556,swab,covid-19,transmit
1547,1558,qbd,inflammatory injury,be_related_with
1549,1560,climate,association,be_related_with
1550,1561,physician,ai,transmit
1556,1567,h1n1 virus,human,be_in
1559,1570,spike protein,length,be_in
1562,1573,pathology,mouse,transmit
1563,1574,patient,icu,be_related_with
1570,1581,infection,lcmv,transmit
1580,1591,lung,lower,be_related_with
1590,1601,model,epidemic,be_related_with
1595,1606,hospital,pneumonia,be_related_with
1606,1617,y,virus infection,be_related_with
1615,1626,advance,coronavirus,transmit
1616,1627,middle east respiratory syndrome coronavirus,sars,transmit
1624,1635,sgmrna 7,c,transmit
1634,1646,"5,6",henipavirus infection,be_related_with
1638,1650,palivizumab,disease,be_related_with
1646,1658,mp,sars-cov,transmit
1648,1660,lv,e,transmit
1652,1664,disease,additional file 1,be_in
1653,1665,zanamivir,h1n1 virus,be_related_with
1656,1668,rift valley fever virus,africa,be_in
1659,1671,cln,cns infection,be_related_with
1662,1674,respiratory failure,icu,be_related_with
1663,1675,rt-pcr assay,pandemic h1n1 virus,be_related_with
1667,1679,mutation,16 rrna,be_in
1668,1680,%,2009,be_related_with
1669,1681,middle east respiratory syndrome coronavirus,acute respiratory syndrome,be_related_with
1676,1688,u,virus infection,be_related_with
1677,1689,control,pandemic influenza,be_related_with
1679,1691,disease progression,mouse,transmit
1680,1692,hadv-7,china,be_in
1681,1693,onset,2009,be_related_with
1684,1696,recognition,chickenpox,transmit
1685,1697,covs,pneumonia,be_related_with
1688,1700,murine coronavirus,mouse hepatitis virus,transmit
1689,1701,georgetown university,washington,be_in
1692,1705,data,respiratory tract disease,be_related_with
1694,1707,rhinitis,asthma exacerbation,be_related_with
1695,1708,%,disease,be_related_with
1696,1709,h5n1/97 virus,h1n1 influenza virus,be_related_with
1705,1718,ncip,mers,transmit
1708,1721,illness,sl,be_related_with
1711,1724,melioidosis,tuberculosis,be_related_with
1719,1732,fuckförbundet,sweden,be_in
1724,1737,complication,patient,be_in
1725,1738,nm,em,be_related_with
1730,1743,normoglycemia,icu,be_related_with
1739,1752,protein,sars-cov,transmit
1751,1764,discourse,house,be_in
1754,1767,association,vision,be_in
1778,1791,n-methyl,ham,be_related_with
1779,1792,illness,middle east respiratory syndrome coronavirus,be_related_with
1784,1797,model,avian,transmit
1785,1798,antiviral,epidemic,be_related_with
1786,1799,blue,boop lesion,be_related_with
1793,1806,pathogen,pneumonia,be_related_with
1794,1807,abattoir,egypt,be_in
1801,1814,data,disease,be_related_with
1803,1816,symptom,dyspnea,be_related_with
1805,1818,serum,ebov,transmit
1813,1826,glucose,medium,be_in
1816,1829,chill,dyspnea,be_related_with
1818,1831,qol,sepsis,be_related_with
1819,1832,a,qbv,be_in
1824,1837,age,disease,be_related_with
1825,1838,human influenza virus,taiwan,be_in
1829,1842,u,cytopathic virus infection,be_related_with
1830,1843,infection,epidemic,be_related_with
1833,1846,rotavirus,gastroenteritis,be_related_with
1837,1850,covid-19,rna virus,be_related_with
1841,1854,taiwan,epidemic,be_related_with
1845,1858,control,pneumonia,be_related_with
1854,1867,research,chandigarh,be_in
1857,1870,person,ksa,be_in
1858,1871,european medicine agency,covid-19,transmit
1862,1875,homologs,siv,transmit
1863,1876,pathogen,severe acute respiratory syndrome coronavirus 2,be_related_with
1865,1878,%,bacterial infection,be_related_with
1866,1879,outbreak,viral disease,be_related_with
1868,1881,murine coronavirus,mouse hepatitis virus,transmit
1870,1883,pathology,mouse,transmit
1878,1891,apoptosis,measles,transmit
1881,1894,university hospital,icu,be_related_with
1882,1895,imaging,2009,be_related_with
1883,1896,flexner,major,be_related_with
1884,1897,symptom,respiratory symptom,be_related_with
1885,1898,%,atelectasis,be_related_with
1891,1904,naval medical university,shanghai,be_in
1893,1906,outbreak,2004,be_in
1896,1909,rotavirus,gastroenteritis,be_related_with
1900,1913,emergency department,bergamo,be_in
1910,1923,disease progression,gi,be_related_with
1920,1933,symptom,pulmonary edema,be_related_with
1932,1945,severe acute respiratory syndrome,illness,be_related_with
1936,1949,outbreak,disease,be_related_with
1938,1951,bli,pneumonia,be_related_with
1943,1956,%,pneumonia,be_related_with
1948,1961,hpai h5n1,thailand,be_in
1954,1967,cbt,anxiety,be_related_with
1958,1971,outbreak,men,be_in
1961,1974,drug administration,covid-19,transmit
1964,1977,qbd,inflammation,be_related_with
1972,1985,rhinovirus pcr,infection,be_related_with
1980,1993,sensitivity,covid-19,transmit
1989,2002,ferret,illness,be_related_with
1990,2003,data,icu,be_related_with
1994,2007,ecdc,stockholm,be_in
1995,2008,%,2009,be_related_with
1997,2011,pandemic,singapore,be_in
2003,2017,symptom,hypoxia,be_related_with
2008,2022,india,covid-19,transmit
2012,2026,princess margaret hospital,hong kong,be_in
2020,2034,swab,covid-19,transmit
2022,2036,covs,coronavirus,transmit
2027,2041,covs,pneumonia,be_related_with
2030,2044,ptbs,shi,be_related_with
2036,2050,protein,hsv-1,transmit
2038,2052,bal,lung,be_related_with
2047,2061,antiviral,infection,be_related_with
2050,2064,h1n1 strain,h1n1,transmit
2051,2065,ho chi minh city,hpai h5n1 influenza infection,be_related_with
2052,2066,illness,chronic,be_related_with
2059,2073,research,chandigarh,be_in
2066,2080,illness,lower respiratory tract involvement,be_related_with
2067,2081,palivizumab,infectious disease,be_related_with
2069,2083,mp,sars-cov,transmit
2072,2086,cm,diameter,be_in
2073,2087,outbreak,acute respiratory syndrome,be_related_with
2075,2089,bat,infection,be_related_with
2081,2095,virus,template,be_in
2085,2099,data,epidemic,be_related_with
2093,2107,cluster,em,be_related_with
2096,2110,ae.aegypti,chikv,transmit
2098,2112,variable,scii,be_related_with
2102,2116,firmicutes,lower,be_related_with
2103,2117,university health network,toronto,be_in
2106,2120,use committee,association,be_related_with
2119,2133,cell,rsv,transmit
2127,2141,middle east respiratory syndrome coronavirus,severe acute respiratory syndrome,be_related_with
2128,2142,inhalation,mouse,transmit
2138,2152,neoplasm,adenocarcinoma,be_related_with
2141,2155,coronavirus pandemic,usa,be_in
2143,2157,rt-pcr assay,fcov,transmit
2144,2158,outbreak,dhf,treat
2146,2160,data,icu,be_related_with
2153,2167,symptom,respiratory distress syndrome,be_related_with
2157,2171,blood,age,be_related_with
2164,2178,progressive conservative government,ontario,be_in
2172,2186,hcps,chile,be_in
2181,2195,none,disease,be_related_with
2189,2203,symptom,inflection,treat
2196,2210,human,uae,be_in
2197,2211,age,type,be_related_with
2200,2214,etbr,demyelination,be_related_with
2208,2222,mhv infection,spleen,be_in
2213,2227,h7n7,netherlands,be_in
2217,2231,infant,enterovirus,be_related_with
2224,2238,fruit bat,flying fox,transmit
2228,2242,qrt-pcr,lu,be_related_with
2233,2247,category c priority pathogen,chikv,transmit
2239,2253,fev 1,asthma,be_related_with
2241,2255,infectious disease unit,florence,be_in
2247,2261,ozone,queen county,be_in
2249,2263,symptom,rsv,transmit
2253,2267,covs,disease,be_related_with
2267,2281,disease,china,be_in
2268,2282,time,lung consolidation,be_related_with
2271,2285,hemisphere,united state,be_in
2272,2286,tissue,chicken,be_in
2278,2292,care home,uk,be_in
2279,2293,covid-19,indonesia,be_in
2283,2297,outbreak,vietnam,be_in
2285,2299,ubv-cc4,immune suppression,be_related_with
2286,2300,burden,child,be_in
2288,2302,protein,age,be_related_with
2295,2309,spread,plague,be_related_with
2303,2317,cardiac arrest,european union,be_in
2307,2321,inhalation,mouse,transmit
2309,2323,cbt,anxiety,be_related_with
2313,2327,adaptation,influenza a,transmit
2319,2333,science,immunology,be_related_with
2328,2342,model,age,be_related_with
2329,2343,rt-pcr,picornavirus,be_related_with
2331,2345,cov-19,pulmonary oedema,be_related_with
2332,2346,bnabs,guinea pig,be_in
2334,2348,burden,lung,be_related_with
2338,2352,table 1,hcw,be_related_with
2342,2356,ang,lung edema,be_related_with
2344,2358,p,formula,be_in
2349,2363,pathogen,pneumonia,be_related_with
2352,2366,task force,ministry,be_related_with
2362,2376,laboratory,germany,be_in
2374,2388,bal,lung,be_related_with
2386,2400,ward,h1n1,transmit
2387,2401,sirnas,viral infection,be_related_with
2392,2406,h.,infection,be_related_with
2397,2411,infant,illness,be_related_with
2398,2412,facemask,panic,be_related_with
2407,2421,onset,2009,be_related_with
2408,2422,c.difficile,enteritis,be_related_with
2410,2424,influenza,age,be_related_with
2411,2425,child,q,be_related_with
2413,2427,article,right,be_related_with
2415,2429,symptom,sars,transmit
2416,2430,cord,hernia,be_related_with
2421,2435,cbt,anxiety,be_related_with
2422,2437,tocilizumab,patient,be_in
2424,2439,ptbs,shi,be_related_with
2431,2446,outbreak,russia,be_in
2440,2455,2000,h1n1,transmit
2449,2464,data,hrv-c,be_related_with
2459,2474,symptom,sars,transmit
2463,2478,stimulation,infection,be_related_with
2473,2488,mucus,fluid,be_related_with
2475,2490,specimen,influenza,transmit
2476,2491,personal protective equipment,pb,be_in
2480,2495,sanofi,vaccine,be_related_with
2489,2504,netherlands,icu,be_related_with
2499,2514,faeces,rappaport,be_in
2505,2520,%,tgev,transmit
2506,2521,pdcs,spleen,be_in
2510,2525,ncp,inflammation,be_related_with
2512,2527,bronchopneumonia,age,be_related_with
2517,2532,example,infection,be_related_with
2519,2534,lockdown,france,be_in
2525,2540,antibody,n-linked glycosylation,be_in
2526,2541,%,viral infection,be_related_with
2527,2542,i,lancet,be_related_with
2545,2560,bnabs,guinea pig,be_in
2550,2565,herpesviruses,disease,be_related_with
2567,2582,kipyv,sweden,be_in
2570,2585,pneumonia,illness,be_related_with
2574,2589,u,adenovirus,transmit
2577,2592,apoptosis,rna virus,be_related_with
2580,2595,infectious disease,uganda,be_in
2587,2602,gp41,covid-19virus sars-cov,be_in
2590,2606,motif,m2 protein,be_in
2592,2608,national health committee,china,be_in
2598,2614,qbd,systemic inflammation,be_related_with
2604,2620,disease,additional file 1,be_in
2605,2621,application,community,be_related_with
2608,2624,person,beijing,be_in
2609,2625,inhalation,mouse,transmit
2612,2628,learning,public,be_related_with
2622,2638,gliosis,cortex,be_in
2628,2644,ultrasound,thrombosis,be_related_with
2629,2645,physician,distress syndrome,be_related_with
2633,2649,university hospital,kiel,be_in
2660,2676,thailand,2009,be_related_with
2663,2679,group,influenza,transmit
2667,2683,bacteria,viral infection,be_related_with
2669,2685,sensitivity,covid-19,transmit
2672,2688,influenza a,2000,be_in
2678,2694,antigenic shift,virus,be_in
2692,2709,e.,pandemic,be_related_with
2700,2717,symptom,distress syndrome,be_related_with
2713,2730,influenza infection,bangladesh,be_in
2714,2731,acute febrile illness,tropic,be_in
2716,2733,world health organization,covid-19 pandemic,be_related_with
2722,2739,u,adenovirus,transmit
2723,2740,protein,tb,transmit
2727,2744,vaccine,viral infection,be_related_with
2728,2745,hubei province,china,be_in
2730,2747,symptom,pain,be_related_with
2731,2748,virus,injury,be_related_with
2736,2753,zhang et al.,blood,be_related_with
2757,2774,enterovirus,illness,be_related_with
2765,2783,participant,hungary,be_in
2770,2788,outbreak dynamic,evd,be_related_with
2784,2802,mdc1,human,be_in
2786,2804,g50,sl2,be_in
2790,2808,covid-19 survivor,infection,be_related_with
2794,2812,usc,infection,be_related_with
2803,2821,symptom,depression,be_related_with
2805,2823,dermatitis,inflammation,be_related_with
2815,2833,hubei,china,be_in
2821,2839,pcr,infectious agent,be_related_with
2824,2842,community,france,be_in
2830,2848,h5n1 virus,mouse,transmit
2832,2850,protein,membrane,be_in
2841,2859,monocyte,blood,be_related_with
2843,2861,unsw,sydney,be_in
2847,2866,rj.my135q.llo190-infected balb/c mouse,encephalitis,be_related_with
2855,2874,virus,2000,be_in
2864,2883,virus,serum,be_in
2868,2887,syndrome,qifen,be_in
2869,2888,rtis,united state,be_in
2870,2889,exanthem,skin lesion,be_related_with
2871,2890,centre,emerging,be_related_with
2874,2893,microbiota,critical,be_related_with
2876,2895,influenza infection,ontario,be_in
2882,2901,glucose,medium,be_in
2889,2908,death,malaria,be_related_with
2892,2911,data,ng,be_related_with
2897,2916,virus,h5n1 virus,be_related_with
2903,2922,rt-pcr/esi-ms,rsv,transmit
2906,2925,cnrl,influenza,transmit
2908,2927,lymphocyte,lower,be_related_with
2912,2931,mefs,infection,be_related_with
2913,2932,mdl,infection,be_related_with
2915,2934,fungi,size,be_in
2919,2938,age,infection,be_related_with
2922,2941,adaptation,influenza a,transmit
2925,2944,shrna,jev,be_related_with
2927,2946,patient,age,be_related_with
2932,2951,cell,c,transmit
2935,2954,time,upper respiratory pathogen,be_related_with
2964,2983,mouse,illness,be_related_with
2965,2984,death,malaria,be_related_with
2966,2985,illness,coronavirus,transmit
2969,2988,focus,bvdv,transmit
2978,2997,typhimurium,bacterial,be_related_with
2979,2998,medium,vsv,transmit
2980,2999,fetus,congenital illness,be_related_with
2982,3001,%,africa,be_in
2984,3003,infection,influenza,transmit
2985,3004,lung,alveolitis,be_related_with
2992,3011,t. evansi,weight loss,be_related_with
3008,3027,incidence,lower,be_related_with
3010,3029,inflection,age,be_related_with
3011,3030,heparin,sars pseudovirus infection,be_related_with
3015,3034,disease,china,be_in
3017,3036,symptom,disease,be_related_with
3020,3039,blood,mouse,transmit
3021,3040,a,2004,be_in
3024,3043,symptom,sars,transmit
3041,3060,rt-pcr,influenza pandemic,be_related_with
3043,3062,qol,sepsis,be_related_with
3044,3063,medium,cpe,be_related_with
3061,3080,t2d,age,be_related_with
3068,3087,infant,enterovirus,be_related_with
3071,3090,symptom,wheezing,be_related_with
3073,3092,google flu trend,public health,be_related_with
3077,3096,u,virus infection,be_related_with
3082,3101,niv,pandemic,be_related_with
3086,3105,cell,cns,be_related_with
3088,3107,inflection,age,be_related_with
3090,3109,middle east respiratory syndrome coronavirus,sars,transmit
3101,3120,a/h1n1,australia,be_in
3104,3123,serum,liver,be_related_with
3105,3124,spleen,congestion,be_related_with
3107,3126,npv,lower,be_related_with
3113,3132,t3d,blood,be_related_with
3119,3138,%,lower,be_related_with
3121,3140,mutation,nsp1,be_in
3137,3157,new york city,coronavirus pandemic,be_related_with
3139,3159,h1n1 virus infection,china,be_in
3151,3171,acquired immune deficiency syndrome,pandemic,be_related_with
3159,3179,men,montreal,be_in
3160,3180,infection,n-prrsv,be_related_with
3161,3181,european union,infectious disease,be_related_with
3164,3184,neonatal respiratory failure,uk,be_in
3165,3185,person,usa,be_in
3167,3187,bovine respiratory disease,finland,be_in
3176,3196,ebola virus,africa,be_in
3177,3197,health system,pandemic influenza,be_related_with
