object,subject,relation
injury,ldh,gene_disease
fever,sore throat,disease_disease
illness,asthma,disease_symptom
illness,asthmatic,disease_symptom
community,virus,disease_disease
png,pandemic,disease_disease
arginine,amino acid,drug_drug
haemagglutinin,tmprss2,gene_gene
ha,tmprss2,gene_disease
ha,tmprss2,gene_gene
ebov infection,antibody,gene_disease
homology,mbl,gene_gene
infection,mbl,gene_disease
presence,ebov infection,disease_treat_procedure
c3 convertase,c3 convertase,gene_gene
viral infection,mbl,gene_disease
infection,pngase f,gene_disease
viral infection,presence,treat_procedure_disease
tunicamycin,infection,disease_drug
ebov infection,acidification,treat_procedure_disease
ebov infection,mbl,gene_disease
ebov,mbl,gene_disease
pattern recognition receptor,lectin,gene_gene
multifunctional,lectin,gene_gene
type,virus,disease_disease
virus,mbl,gene_disease
actin filament,mbl,gene_gene
virus infection,ebov,disease_disease
infection,ebov,disease_disease
mbl,virus,disease_gene
complement,mbl,gene_gene
liver,mbl,gene_disease
mannose,gps,gene_drug
set,pt,gene_gene
emerging infectious disease,mail,gene_disease
infectious disease,mail,gene_disease
disease,mail,gene_disease
emerging disease,mail,gene_disease
influenza virus infection,finding,symptom_disease
critical,elevation,treat_procedure_disease
mouse,pi3k,gene_species
mouse,virus infection,disease_species
human,helicobacter pylorus infection,disease_species
stomach,neoplasm,disease_disease
surgical excision,malignancy,disease_treat_procedure
excision,malignancy,disease_treat_procedure
carcinoma,presence,treat_procedure_disease
surgical,tumor,disease_treat_procedure
gene,expression,treat_procedure_gene
expression,expression,treat_procedure_treat_procedure
mhv infection,expression,treat_procedure_disease
histone acetyltransferase,stat1,gene_gene
cns,t. gondii infection,disease_disease
autophagy,ifn β,gene_gene
rna,cdna,gene_disease
large,virus,disease_gene
protein,nsp1,gene_gene
disease,virus,disease_disease
mhv infection,virus,disease_disease
encephalitis,acute hepatitis,disease_disease
encephalitis,hepatitis,disease_disease
nsp1,pgpt,gene_gene
ph1n1,co-infection,disease_disease
co-infection,viral pneumonia,disease_disease
rsv,co-infection,disease_disease
rna virus,coronavirus,disease_disease
cat,disease,disease_species
cat,light,gene_species
effusion,rna,disease_disease
ifn,coronaviruses,disease_gene
host,sars cov,disease_gene
damage,measles,disease_gene
smallpox,vaccination,treat_procedure_disease
people,vaccine,disease_species
sars epidemic,syndrome,disease_disease
sars epidemic,respiratory syndrome,disease_disease
sars epidemic,severe acute respiratory syndrome,disease_disease
sars epidemic,acute respiratory syndrome,disease_disease
antibody,human papillomavirus,disease_gene
infection,hepatitis b,disease_disease
fpr,virus,disease_disease
receptor,phe,drug_gene
fpr,dp178,gene_disease
infection,coronaviruses,disease_disease
virus,fpr,disease_disease
viral infection,fpr,disease_disease
infection,fpr,disease_disease
receptor,formyl peptide receptor,gene_gene
membrane region,ebola virus,disease_gene
presence,fpr,disease_treat_procedure
gene,light,gene_gene
lp,stimulation,treat_procedure_gene
prrsv,stimulation,treat_procedure_disease
prrsv infection,tlrs,gene_disease
step,renin,gene_gene
ra,renin,gene_gene
renin,renin,gene_gene
set,ace,drug_gene
ace,hypertension,disease_drug
damage,albuminuria,disease_gene
injury,angiotensin ii,drug_disease
renal injury,angiotensin ii,drug_disease
expression,angiotensin ii,drug_treat_procedure
rabbit,virus,disease_species
tumor,virus,disease_disease
cpe,ribavirin,drug_disease
cpe,reduction,treat_procedure_disease
sars cov,infection,disease_disease
anemia,therapy,treat_procedure_disease
horseradish peroxidase,igg,gene_gene
influenza virus,virus,disease_disease
spike protein,antibody,gene_gene
host cell receptor,s1,drug_gene
human,hev,drug_species
human,niv,disease_species
receptor,virus,disease_gene
critical,rbd protein,gene_disease
hcv,hepatocyte,gene_disease
founder,he,disease_disease
working,he,disease_species
patient,he,disease_species
man,he,disease_species
finding,he,disease_symptom
chikungunya virus,schistosomiasis,disease_disease
virus,gene,gene_disease
disorder,rank,gene_disease
disorder,virus,disease_disease
h2o,trizol,drug_drug
ichnovirus,bracovirus,disease_disease
group 2,bocaviruses,disease_gene
body,exosome,gene_gene
recruitment,zap,gene_disease
40 ribosomal subunit,eif3,gene_gene
subunit,tax protein,gene_gene
mouse hepatitis virus,murine coronavirus,disease_disease
mouse hepatitis virus,coronavirus,disease_disease
nuclease,virus,disease_gene
vhs,expression,treat_procedure_gene
np,overlap,treat_procedure_disease
induction,finding,symptom_treat_procedure
hcv,finding,symptom_disease
detection,rna virus,disease_treat_procedure
vaccination,antibody,gene_treat_procedure
gene,reassortant virus,disease_gene
paralysis,vaccination,treat_procedure_disease
pandemic influenza,infection,disease_disease
cysteine proteinase,tl,disease_gene
ex-fabp,enterobactin,gene_gene
apec,virulence factor,gene_disease
bronchitis coronavirus,expression,treat_procedure_disease
expression,infection,disease_treat_procedure
infectious bronchitis coronavirus,expression,treat_procedure_disease
fat,ex-fabp,gene_gene
large,coronaviruses,disease_gene
human,virus,disease_species
rna,n protein,gene_disease
patient,antibody,gene_species
nucleocapsid,n protein,gene_gene
tnfα,ifnγ,gene_gene
clearance,t cell,gene_treat_procedure
genital,supplementation,treat_procedure_disease
critical,sphingolipids,drug_disease
respiratory tract infection,c. pneumoniae,disease_disease
respiratory distress,pneumonia,disease_disease
human,emerging disease,disease_species
human,disease,disease_species
h9n2,h5n1,disease_disease
human,viral disease,disease_species
avian influenza virus,virus,disease_disease
edema,inflammation,disease_disease
m. pneumoniae,igm antibody,gene_disease
patient,pneumoniae,disease_species
infection,igm antibody,gene_disease
rhodopsin,tmh v,gene_gene
w190,w190,gene_gene
s. aureus,infection,disease_species
respiratory virus infection,sars,disease_disease
respiratory virus infection,influenza,disease_disease
hla,sars,disease_gene
virus,coronaviruses,disease_disease
virus,hcov nl63,gene_disease
respiratory tract disease,hcov nl63,gene_disease
nl63,coronavirus,disease_gene
nl63,nl63,gene_gene
detected,antibody,gene_treat_procedure
protein,goat anti-hcov-229e antibody,gene_gene
recombinant protein,goat anti-hcov-229e antibody,gene_gene
infant,virus,disease_species
chlamydia pneumoniae,all,gene_species
rna virus,severe acute respiratory syndrome,disease_disease
rna virus,acute respiratory syndrome,disease_disease
egfp,luciferase,gene_gene
human,coronaviruses,disease_species
ra,angiotensin converting enzyme 2,gene_gene
patient,ace2,gene_species
hyperglycemia,treatment,treat_procedure_disease
treatment,renal fibrosis,disease_treat_procedure
treatment,fibrosis,disease_treat_procedure
ace2,ang ii,gene_gene
participant,ace2,gene_species
ang ii,treatment,treat_procedure_gene
nephropathy,hyperglycemia,disease_disease
np1,ns1,gene_gene
lrtis,hbov1,gene_disease
blood,detection,treat_procedure_disease
hrv,respiratory virus,disease_disease
hrv,virus,disease_disease
detected,hbov1,gene_treat_procedure
hbov,lrtis,disease_disease
flua,virus,disease_gene
influenza a,virus,disease_disease
liver disease,cirrhosis,disease_disease
autoimmune liver disease,biliary cirrhosis,disease_disease
autoimmune liver disease,cirrhosis,disease_disease
liver disease,biliary cirrhosis,disease_disease
patient,progressive disease,disease_species
patient,disease,disease_species
patient,immunosuppression,disease_species
reduction,immunosuppression,disease_treat_procedure
liver,virus,disease_disease
patient,anti-retroviral therapy,treat_procedure_species
patient,therapy,treat_procedure_species
cholangitis,betaretrovirus,disease_disease
cyclophilins,hiv,disease_gene
target cell,virus,disease_gene
cyclophilins,virus,disease_gene
csa,hiv,disease_drug
spike,ibv,disease_gene
s1,s protein,gene_drug
vaccination,ib,disease_treat_procedure
epidemic,ib,disease_disease
k2,s1 gene,gene_gene
3a,ibv,disease_gene
3a protein,3a,gene_gene
presence,virus,disease_treat_procedure
ab,lyme neuroborreliosis,disease_gene
antibody,lyme neuroborreliosis,disease_gene
csf,detection,treat_procedure_gene
virus,poliomyelitis,disease_disease
virus,encephalitis,disease_disease
virus,acute poliomyelitis,disease_disease
patient,ab,gene_species
virus,csf,gene_disease
ab,csf,gene_gene
cns,presence,treat_procedure_disease
cns,asc,gene_disease
intracranial infection,hepatitis,disease_disease
infection,hepatitis,disease_disease
oligodendroglia,virus,disease_disease
rare,hepatitis,disease_gene
infection,rna,disease_disease
arthralgia,fever,disease_disease
headache,fever,disease_disease
myalgia,fever,disease_disease
fever,sfv,disease_disease
human,sfv,disease_species
administration,post-exposure prophylaxis,treat_procedure_treat_procedure
administration,prophylaxis,treat_procedure_treat_procedure
60,ab,gene_drug
glycoprotein,ab,gene_gene
demyelination,ab,gene_disease
cns,igg,gene_disease
detected,asc,gene_treat_procedure
critical,cxcl10,gene_disease
asc,cxcl10,gene_gene
cns,cxcl10,gene_disease
receptor,cxcr3,gene_gene
microglia,rv infection,disease_disease
mouse,cd8,gene_species
detected,viral infection,disease_treat_procedure
detected,infection,disease_treat_procedure
viral,rsv,disease_disease
pandemic,influenza pandemic,disease_disease
sinusitis,treatment,treat_procedure_disease
bacterial sinusitis,treatment,treat_procedure_disease
nasal discharge,anosmia,disease_disease
treatment,nasal symptom,disease_treat_procedure
discharge,anosmia,disease_symptom
virus,influenza a,disease_disease
virus,influenza b,disease_disease
infection,influenza,disease_disease
respiratory infection,influenza,disease_disease
acute infection,influenza,disease_disease
acute respiratory infection,influenza,disease_disease
fever,influenza,disease_disease
ifn,influenza b virus,disease_gene
ed,impact,gene_disease
hamster,nipah,disease_species
hamster,hendra,disease_species
hamster,paramyxovirus,disease_species
mouse,antibody,gene_species
iav,vlps,gene_disease
avian,virus,disease_disease
expression,treatment,treat_procedure_treat_procedure
treatment,inclusion,gene_treat_procedure
mapk,host,gene_gene
protein,oa,disease_gene
rna,rna,disease_disease
child,rtis,disease_species
human herpesvirus 6,detection,treat_procedure_disease
child,respiratory virus,disease_species
detected,respiratory virus,disease_treat_procedure
child,virus,disease_species
detected,virus,disease_treat_procedure
sybr green,rna,disease_drug
mass,rna,disease_gene
detected,hcov,drug_treat_procedure
detected,rsv,disease_treat_procedure
detected,hrv,disease_treat_procedure
respiratory tract disease,hbov,disease_disease
cell,infection,disease_gene
respiratory disease,critical,disease_disease
viral disease,critical,disease_disease
disease,critical,disease_disease
viral respiratory disease,critical,disease_disease
cell,virus,disease_gene
red,monolayers,drug_gene
neutral red,monolayers,drug_drug
infection,monolayers,drug_disease
cell,virion,gene_gene
cleaved,sg protein,gene_gene
cloned,cdna,gene_gene
detected,mab,gene_treat_procedure
expression,t47d,disease_treat_procedure
lectin,t47d,disease_gene
expression,tumor,disease_treat_procedure
tgn,α2,gene_gene
tumor,macrophage,gene_disease
coil,ha2 80,gene_gene
coil,ha2,gene_gene
pb,xrn1,gene_gene
child,respiratory tract infection,disease_species
rsv b,rsv a,disease_drug
child,lower respiratory infection,disease_species
piv,co-infections,disease_disease
co-infections,rest,gene_disease
extracted,acid,drug_treat_procedure
extracted,nucleic acid,gene_treat_procedure
virus,influenza,disease_disease
throat,fatigue,disease_disease
sore throat,fatigue,disease_disease
headache,fatigue,disease_disease
c reactive protein,creatinine,drug_gene
protein,creatinine,drug_gene
lactate dehydrogenase,creatinine,drug_gene
rsv,influenza,disease_disease
peptide,stabilization,treat_procedure_drug
virus,h5n1,disease_disease
human virus,h5n1,disease_disease
human,h5n1,disease_gene
human,h5n1,disease_species
extracted,serum,gene_treat_procedure
er,m membrane glycoprotein,gene_disease
polysomes,s protein,gene_gene
er,s protein,gene_disease
alanine,replacement,treat_procedure_drug
sheep,antibody,gene_species
patient,map,gene_species
ili,ed,disease_disease
respiratory virus,influenza virus,disease_disease
detected,influenza virus,disease_treat_procedure
virus,influenza virus,disease_disease
h3n2,virus,disease_disease
transmembrane protein,atg9,gene_gene
isolation membrane,atg9,gene_gene
rig,dsrna,gene_gene
release,atp,drug_treat_procedure
rna,atp,drug_disease
mapks,receptor,gene_gene
beclin 1,hmgb1,gene_gene
rage,hmgb1,gene_gene
inflammation,autophagy,gene_disease
bacterial infection,autophagy,gene_disease
infection,autophagy,gene_disease
clearance,autophagy,gene_treat_procedure
infectious disease,rage,gene_disease
disease,rage,gene_disease
rage,inflammation,disease_gene
phosphatidylserine receptor,rage,gene_gene
clearance,rage,gene_treat_procedure
critical,hspb1,gene_disease
expression,hmgb1,gene_treat_procedure
protein,hmgb1,gene_gene
sg mrna,coronaviruses,disease_gene
base,genome,gene_gene
phosphoprotein,respiratory syndrome coronavirus,disease_gene
phosphoprotein,syndrome coronavirus,disease_gene
phosphoprotein,acute respiratory syndrome coronavirus,disease_gene
phosphoprotein,severe acute respiratory syndrome coronavirus,disease_gene
coronaviruses,nucleocapsid,gene_disease
ctd,dd,disease_disease
virion,protein,gene_gene
acid,n protein,gene_drug
nucleic acid,n protein,gene_gene
severe acute respiratory syndrome related coronavirus,virus,disease_disease
specie,receptor,gene_species
high,overlap,treat_procedure_disease
12,hpi,disease_gene
sars cov,hpi,disease_disease
de,gene,gene_disease
gene,kinase inhibitor,gene_gene
encephalomyocarditis virus,sb203580,drug_disease
antiviral,sb203580,drug_gene
p38 mapk,sb203580,drug_gene
gene,de,disease_gene
mirna,pattern,gene_gene
kit,virus infection,disease_gene
kit,expression,treat_procedure_gene
expression,influenza,disease_treat_procedure
expression,virus infection,disease_treat_procedure
antigen,exosomes,gene_gene
macrophage activation,exosomes,gene_treat_procedure
membrane,uranyl acetate,drug_gene
carbohydrate,ha mutant,gene_drug
ha1,ha mutant,gene_gene
cell surface,single point mutant ha0s,gene_gene
antibody,ha,disease_gene
proline,mutant,gene_drug
loop,v55p,gene_gene
end,loop,gene_gene
change,diiodofluorescein,drug_treat_procedure
change,change,treat_procedure_treat_procedure
ice,hemagglutinin,gene_gene
fusion,change,treat_procedure_gene
step,change,treat_procedure_gene
induction,vpr,gene_treat_procedure
cytoplasm,rev protein,gene_gene
cirrhosis,hcv,disease_disease
liver cirrhosis,hcv,disease_disease
ns5a,hcv core protein,gene_gene
yeast,hcv ire,gene_species
functional,hcv ire,gene_gene
presence,exosomes,gene_treat_procedure
integrins,cd81,gene_gene
bcg,exosomes,gene_disease
exosomes,hiv,disease_gene
prion protein,exosomes,gene_gene
release,keratinocytes,gene_treat_procedure
drainage,intradermal injection,treat_procedure_symptom
drainage,injection,treat_procedure_symptom
injury,ablation,treat_procedure_disease
tissue,antigen,gene_disease
intradermal injection,expression,treat_procedure_treat_procedure
injection,expression,treat_procedure_treat_procedure
e7,a2,gene_gene
induction,expression,treat_procedure_treat_procedure
public health,influenza,disease_disease
damage,influenza,disease_gene
gps,vaccination,treat_procedure_gene
adipocytes,expression,treat_procedure_gene
expression,lipoprotein,gene_treat_procedure
atherosclerosis,lipoprotein,gene_disease
fluid,expression,treat_procedure_disease
synoviocytes,expression,treat_procedure_gene
fibroblast growth factor 2,stimulation,treat_procedure_gene
herpes virus,cytomegalovirus,disease_disease
sars coronaviruses,severe acute respiratory syndrome,disease_disease
sars coronaviruses,acute respiratory syndrome,disease_disease
2009,inflammation,disease_disease
detection,damage,gene_treat_procedure
infection,fever,disease_disease
periodontal disease,gingivitis,disease_disease
inflammation,gingivitis,disease_disease
disease,gingivitis,disease_disease
hepatitis e virus,noroviruses,disease_disease
adenovirus,noroviruses,disease_species
astroviruses,noroviruses,disease_disease
virus,polyphenols,drug_disease
damage,polyphenols,drug_gene
carbohydrate,hbgas,gene_drug
lung cancer,asbestos,disease_disease
cell,influenza virus,disease_gene
change,virus,disease_treat_procedure
body,virus,disease_gene
infection,detection,treat_procedure_disease
human,influenza virus,disease_gene
human,immune deficiency disease,disease_gene
human,deficiency disease,disease_gene
patient,aid,disease_species
disease,human,gene_disease
blame,human,gene_gene
rna virus,hcv,disease_disease
rare,infection,disease_gene
h1n1,virus,disease_disease
h1n1,infection,disease_disease
dc,influenza virus,disease_gene
infection,septic shock,disease_disease
severe infection,septic shock,disease_disease
class,p38 mapk,gene_gene
gap,kt,disease_gene
hiv,infection,disease_disease
induction,actinobacillus pleuropneumoniae antigen,gene_treat_procedure
candidiasis,vaccination,treat_procedure_disease
su,cysteine thiolate,drug_disease
membrane,pmb,drug_gene
virus,expression,treat_procedure_disease
stva,disulfide,drug_gene
tm,su,disease_disease
alv su,tva,drug_disease
serine,replacement,treat_procedure_drug
alv env,cys thiols,drug_gene
capsid,change,treat_procedure_gene
mutant env,tm,disease_gene
impact,application,treat_procedure_gene
antibody,antibody,gene_gene
encephalomyelitis,acute,disease_disease
stimulation,pdc,disease_treat_procedure
rna,vrp,gene_disease
csfv,ns3,gene_disease
tlr7,rna,disease_gene
dmem,pdc,disease_drug
glutamax,pdc,disease_drug
mab,cd172a,gene_gene
2009,pandemic,disease_disease
weakness,ards,disease_disease
ecmo,h1n1,disease_disease
hemorrhage,pneumothorax,disease_disease
insertion,pneumothorax,disease_treat_procedure
weakness,anticoagulation therapy,treat_procedure_disease
icu,change,treat_procedure_disease
patient,depression,disease_species
ha,ha,disease_disease
ha,cell,gene_disease
ha,mammalian cell,gene_disease
expression,baculoviruses,disease_treat_procedure
ha protein,ha protein,gene_gene
ha protein,recombinant ha protein,gene_gene
pngase f,treatment,treat_procedure_gene
disease,infection,disease_disease
infection,disease,disease_disease
damage,viral infection,disease_gene
damage,infection,disease_gene
sars cov,v2163,drug_disease
2009,infection,disease_disease
2009,pulmonary infection,disease_disease
detected,viral antigen,gene_treat_procedure
detected,antigen,gene_treat_procedure
cell surface,expression,treat_procedure_gene
release,presence,treat_procedure_treat_procedure
pr8,inoculation,treat_procedure_disease
mouse,influenza virus infection,disease_species
expression,mhv,disease_treat_procedure
lp,expression,treat_procedure_gene
ha protein,expression,treat_procedure_gene
antibody,expression,treat_procedure_gene
change,acidification,treat_procedure_treat_procedure
step,acidification,treat_procedure_gene
endosome,change,treat_procedure_gene
rhesus,gene,gene_species
macaque,vl,disease_species
human,application,treat_procedure_species
mouse,infection,disease_species
igg antibody,igg antibody,gene_gene
anti-human igg antibody,igg antibody,gene_gene
hcv,immunization,treat_procedure_disease
ab,immunization,treat_procedure_gene
ab,passive immunization,treat_procedure_gene
hcv,passive immunization,treat_procedure_disease
influenza virus infection,antibody,gene_disease
infection,ab,gene_disease
human,2g12,gene_species
plant,primary infection,disease_disease
rare,mabs,gene_gene
hiv,virus,disease_disease
his,trp,drug_drug
replicase gene,gene 1,gene_gene
fowl,ibv,disease_species
presence,gene,gene_treat_procedure
cloned,nucleotide,drug_gene
beaudette,ir,gene_disease
sg mrna,sg mrna,gene_gene
gene,gene,gene_gene
virus,insertion,treat_procedure_disease
end,antibody,gene_gene
p. vampyrus,igg,gene_species
p. vampyrus,maternal igg,gene_species
nipah virus,maternal igg,gene_disease
nipah virus,igg,gene_disease
presence,ttsps,gene_treat_procedure
su,thiols,drug_disease
e. coli,stva,gene_species
ice,virus,disease_gene
ice,stva,gene_gene
respiratory infection,coronaviruses,disease_disease
cold,oc43,gene_disease
common cold,oc43,gene_disease
common cold,229e,disease_disease
cold,229e,disease_disease
child,upper respiratory tract disease,disease_species
respiratory disease,coronaviruses,disease_disease
rat,respiratory disease,disease_species
pneumonia,sdav,disease_disease
rat,sdav,disease_species
interstitial pneumonia,sdav,disease_disease
edema,interstitial pneumonia,disease_disease
edema,pneumonia,disease_disease
lung,infiltration,treat_procedure_disease
cxc chemokines,cinc 2,drug_gene
cxc chemokines,lix,gene_gene
inoculation,sdav,disease_treat_procedure
expression,sdav,disease_treat_procedure
cell surface,brefeldin a,drug_gene
sdav,infection,disease_disease
chemokine,cx3c chemokine family,gene_gene
pseudomonas aeruginosa,treatment,treat_procedure_species
expression,virus,disease_treat_procedure
cns,expression,treat_procedure_disease
expression,rsv,disease_treat_procedure
expression,viral glycoprotein,gene_treat_procedure
induction,il,gene_treat_procedure
dmem,virus,disease_drug
monoclonal antibody,viral nucleocapsid antigen,gene_drug
mouse hepatitis virus nucleocapsid protein,viral nucleocapsid antigen,gene_gene
detected,viral nucleocapsid antigen,gene_treat_procedure
antibody,viral antigen,gene_gene
monoclonal antibody,viral antigen,gene_drug
mouse hepatitis virus nucleocapsid protein,antigen,gene_gene
antibody,antigen,gene_gene
mouse hepatitis virus nucleocapsid protein,viral antigen,gene_gene
monoclonal antibody,antigen,gene_drug
antibody,viral nucleocapsid antigen,gene_gene
traf3,cd40,gene_gene
type i interferon,tnfα,gene_gene
polyubiquitin chain,traf6,gene_gene
traf3,traf6,gene_gene
traf6,trif,gene_gene
class,traf3,gene_gene
traf3,traf3,gene_gene
myd88,traf3,gene_gene
tbk1,traf3,gene_gene
trif,traf3,gene_gene
asc,protein,gene_gene
traf3,dap,gene_gene
detection,nod2,gene_treat_procedure
mda5,lgp2,gene_gene
rna,lgp2,gene_disease
virus,mda5,gene_disease
card domain,mavs,gene_gene
irf3,traf3,gene_gene
traf6,traf6,gene_gene
gene,p300,gene_gene
receptor,traf6,gene_gene
t cell receptor,traf3,gene_gene
induction,traf6,gene_treat_procedure
traf3,tbk1,gene_gene
polyubiquitin chain,cyld,gene_gene
pro,virus,disease_gene
hbx,hepatitis b virus,disease_drug
listeria monocytogenes,infection,disease_species
atherosclerosis,atherosclerosis,disease_disease
tumor,traf3,gene_disease
traf3,encephalitis,disease_gene
detected,type,disease_treat_procedure
infection,ops,disease_disease
infection,np,disease_disease
infection,nw,disease_disease
adenovirus,np,disease_disease
nw,np,disease_disease
ci,detection,treat_procedure_drug
ci,nw,disease_drug
damage,influenza virus infection,disease_gene
alveolar damage,influenza virus infection,disease_disease
diffuse alveolar damage,influenza virus infection,disease_disease
h1n1 infection,administration,treat_procedure_disease
influenza,administration,treat_procedure_disease
infection,oral administration,treat_procedure_disease
infection,administration,treat_procedure_disease
influenza,oral administration,treat_procedure_disease
lung,administration,treat_procedure_disease
h5n1 viral infection,stabilization,treat_procedure_disease
h5n1 infection,stabilization,treat_procedure_disease
lung,stabilization,treat_procedure_disease
infiltration,administration,treat_procedure_treat_procedure
dnase i,rna,disease_gene
oc43,influenza virus,disease_gene
influenza b virus,influenza virus,disease_disease
virus,influenza b virus,disease_disease
ct,change,treat_procedure_disease
detected,hrp,gene_treat_procedure
hamster,dpi,gene_species
presence,polymerase,gene_treat_procedure
base,loop,gene_gene
base,terminal loop,gene_gene
critical,s3,gene_disease
rna,n gene,gene_disease
monolayers,rna,disease_drug
tbev,infection,disease_disease
expression,ct,disease_treat_procedure
ct,ct,disease_disease
infection,presence,treat_procedure_disease
cxcl13,tbev,disease_gene
patient,same,disease_species
human,influenza h5n1,disease_species
transmissible,influenza h5n1,disease_disease
h5n1,influenza a,disease_disease
h5n1,avian influenza a,disease_disease
cap,rest,gene_disease
patient,psi,gene_species
virus,hrv,disease_disease
pneumonia,hrv,disease_disease
child,hrv,disease_species
patient,hrv,disease_species
bacterial infection,infection,disease_disease
infection,infection,disease_disease
bacterial infection,viral infection,disease_disease
secondary infection,infection,disease_disease
secondary infection,viral infection,disease_disease
infection,viral infection,disease_disease
protein,major capsid protein,gene_gene
protein,capsid protein,gene_gene
virus,noroviruses,disease_disease
peptide,pmos,drug_drug
ppmo,virus,disease_drug
t7 polymerase,rna,disease_gene
ifn,viral infection,disease_gene
ifn,infection,disease_gene
mouse,ifns,gene_species
pseudogene,mouse,gene_gene
