,Unnamed: 0.1,subject,object,new_relation
241,243,others,red clover necrotic mosaic virus,species_species
246,248,symptom,cough,disease_disease
247,249,google flu trend,public health,disease_disease
252,254,symptom,nasal congestion,disease_disease
253,255,spleen,congestion,disease_disease
255,257,m7gmp,rna,gene_gene
258,260,rt-pcr/esi-ms,adenovirus,species_disease
261,263,rpmi-1640,glutamine,drug_drug
266,268,mrna,protein,gene_gene
267,269,compound,virus,gene_disease
293,295,apoptosis,viral infection,disease_disease
294,296,case,boy,species_species
296,298,egcg,protein,gene_gene
298,300,compound,virus,gene_disease
301,303,amino acid,protein,gene_gene
305,307,ifbv,human,species_gene
306,308,polymorphism,advanced liver fibrosis,disease_disease
315,317,yf3,flavivirus,species_disease
324,326,rt-pcr/esi-ms,adenovirus,species_disease
325,327,symptom,headache,disease_disease
328,330,route,infection,disease_disease
330,332,symptom,acute respiratory distress syndrome,disease_disease
331,333,pathogen,pneumonia,disease_disease
334,336,covid-19,brazil,drug_drug
335,337,bacillus,haematoxylin,drug_drug
339,342,palivizumab,infectious disease,disease_disease
348,351,cell,isothiocyanate,drug_drug
349,352,mnc,antibody,gene_gene
352,355,qbd,lung injury,disease_disease
353,356,molecule,matrix protein,gene_gene
355,358,outbreak,emerging infectious disease,disease_disease
362,366,assay,pig,species_species
363,367,niv,work of breathing,disease_disease
365,369,covid-19 survivor,infection,disease_disease
366,370,mrna,leader,gene_gene
374,378,myelin debris,mouse,species_species
378,382,atg9,lipid,gene_gene
381,385,cell,poly,drug_drug
383,387,radiograph,lymphadenopathy,disease_disease
387,391,data,virus,gene_disease
406,411,cell,paraformaldehyde,drug_drug
410,415,tlrs,protein,gene_gene
412,417,data,mouse,species_species
418,423,carrageenan,sulphated,drug_drug
421,426,actinomycin d,protein,gene_gene
429,434,neutrophil,lung,disease_disease
430,435,arenaviridae,arenavirus,species_disease
439,444,hydrophila,small,gene_gene
441,446,australia,virus,gene_disease
448,453,frequency,small,gene_gene
449,454,vaccine,critical,disease_disease
453,458,serum,antibody,gene_gene
456,461,avian virus,airway,gene_gene
457,462,pathogen,diarrhea,disease_disease
459,464,cd93,encephalomyelitis,disease_disease
460,465,none,mouse,species_species
462,467,astroviruses,gastroenteritis,disease_disease
463,468,symptom,influenza-like illness,disease_disease
464,469,covs,protein,gene_gene
467,472,stom,multifunctional,gene_gene
468,473,assay,influenza virus,species_disease
472,477,coronavirus disease-2019,pandemic,disease_disease
474,479,japan,respiratory virus,species_disease
482,487,sensitivity,child,species_species
483,488,introduction,infection,disease_disease
485,490,belgium,human,species_gene
488,493,qbd,lung inflammation,disease_disease
491,496,paediatrician,child,species_species
499,504,article,mental health,disease_disease
511,517,ventilation,patient,species_species
529,535,genus,virus,gene_disease
531,537,control,influenza,species_disease
534,540,time,hyperglycaemia,disease_disease
540,546,cell,poly,drug_drug
544,550,symptom,patient,species_species
546,552,sars-cov,protein,gene_gene
549,555,avian influenza virus,airway,gene_gene
550,556,mucorales,invasive disease,disease_disease
553,559,influenza virus,protein,gene_gene
561,567,covid-19 survivor,infection,disease_disease
575,581,vaccine,critical,disease_disease
576,582,ifi16,rna,gene_gene
581,587,swab,antigen,gene_gene
582,588,death,malaria,disease_disease
595,601,pathogen,malnutrition,disease_disease
606,612,bat,virus,gene_disease
615,621,protein,replicase gene,gene_gene
619,625,cchfv-l otu domain,protein,gene_gene
622,628,protein,antibody,gene_gene
624,630,h5n1 virus,mouse,species_species
647,653,motif,aminopeptidase,gene_gene
652,658,pmn310,transport,gene_gene
653,659,pcr,virus,gene_disease
655,661,virus,airway,gene_gene
660,666,genus,infectious haematopoietic necrosis virus,disease_disease
672,678,none,pulmonary disease,disease_disease
680,686,length,tracheostomy,disease_disease
688,694,monolayer,trypsin,gene_gene
689,695,protein,transport,gene_gene
692,698,apoptosis,measles,species_disease
697,703,qbd,lung inflammation,disease_disease
705,711,symptom,sore throat,disease_disease
707,713,blot,antibody,gene_gene
722,728,frequency,lower,disease_disease
723,729,medium,ampicillin,drug_drug
724,730,sirnas,small,gene_gene
725,731,science,immunology,disease_disease
742,748,application,community,disease_disease
754,760,model,lipid,gene_gene
755,761,ttp,infection,disease_disease
765,771,example,host,gene_gene
767,773,hfip,protein,gene_gene
770,776,cytotoxic,edema,disease_disease
772,778,cell,rna,gene_gene
790,796,cavv infection,mosquito,species_species
792,798,none,mouse,species_species
795,801,pathogen,acute respiratory syndrome coronavirus 2,disease_disease
805,811,tissue,formalin,drug_drug
806,812,virus,protein,gene_gene
808,814,protein,fusion,gene_gene
810,816,discovery,coronavirus,species_disease
811,817,macrophage,tissue,gene_disease
815,821,well,rabies virus,species_disease
817,823,australia,human respiratory virus,species_species
819,825,protein,apm1,gene_gene
821,827,gumma,syphilis,disease_disease
823,829,aerosol,patient,species_species
824,830,protein,antibody,gene_gene
829,835,egr1,tissue,gene_disease
836,842,cell,airway,gene_gene
837,843,plexus,liver,disease_disease
839,845,csf igm,person,species_species
840,846,smith,influenza virus,species_disease
841,847,symptom,congestion,disease_disease
843,849,infection,oedema,disease_disease
844,850,adenovirus,febrile,disease_disease
846,852,sensitivity,mouse,species_species
847,853,herpesviruses,infection,disease_disease
849,855,h1n1 virus,oseltamivir,drug_drug
850,856,education,infective endocarditis,disease_disease
852,858,symptom,edema,disease_disease
879,887,mif,tissue,gene_disease
881,889,fraction,protein,gene_gene
888,896,lc-ms/ms analysis,protein,gene_gene
889,897,marylation,nsp3,gene_gene
897,905,neutrophil,infection,disease_disease
898,906,zikv,rhesus monkey,species_species
905,913,kidney,acid,drug_drug
912,920,pathogen,influenza,species_disease
913,921,covs,protein,gene_gene
915,923,demographic data,child,species_species
922,930,airway,influenza infection,disease_disease
936,944,data,patient,species_species
940,948,antibody,β-actin,gene_gene
948,956,tissue,nitrogen,drug_drug
950,958,cnrl,influenza,species_disease
951,959,fluid,antibody,gene_gene
955,963,"5,6",henipavirus infection,disease_disease
958,966,infection,viraemia,disease_disease
964,972,delivery,caesarean section,disease_disease
965,973,recognition,coronavirus,species_disease
967,975,infection,human,species_gene
974,982,dermatitis,chronic inflammation,disease_disease
981,989,apoptosis,enhanced,disease_disease
985,993,symptom,infection,disease_disease
987,995,medium,gentamicin,drug_drug
995,1003,cell,protein,gene_gene
1005,1013,frequency,herpes simplex virus,species_disease
1010,1018,physician,patient,species_species
1013,1021,isiolo,cattle,species_species
1016,1024,adherence,critical,disease_disease
1017,1025,control,human health,disease_disease
1025,1034,algorithm,severe acute respiratory syndrome,disease_disease
1028,1037,t3d,blood,disease_disease
1035,1044,pneumococcus,pneumonia,disease_disease
1044,1053,dermatitis,chronic inflammation,disease_disease
1048,1057,united state,community,disease_disease
1050,1059,data,severe,disease_disease
1071,1080,pathogen,body,gene_gene
1075,1084,protein,antibody,gene_gene
1076,1085,cell,luciferase reporter,gene_gene
1077,1086,virus,cysteine proteinase,gene_gene
1081,1090,using,allergic asthma,disease_disease
1088,1097,case,patient,species_species
1089,1098,spice,complement,gene_gene
1091,1100,piv-2,bronchiolitis,disease_disease
1093,1102,niv,lung resection,disease_disease
1099,1108,medicare,patient,species_species
1107,1116,protein,entrez,gene_gene
1109,1118,symptom,viral,gene_disease
1111,1120,nature,spike glycoprotein,gene_gene
1117,1126,pathogen,malnutrition,disease_disease
1121,1130,atf6,protein,gene_gene
1123,1132,burden,respiratory disease,disease_disease
1135,1144,recovery,mouse,species_species
1141,1150,t3d,blood,disease_disease
1147,1156,ibegbu et al.,macaque,species_species
1149,1158,τius,small,gene_gene
1160,1169,autophagy,rna,gene_gene
1163,1172,belgium,respiratory virus,species_disease
1168,1177,symptom,fever,disease_disease
1171,1180,size,lower,disease_disease
1192,1201,symptom,cough,disease_disease
1197,1206,osterhaus,body,gene_gene
1200,1209,rhinovirus pcr,infection,disease_disease
1202,1211,qbd,patient,species_species
1206,1215,covs,virus,gene_disease
1209,1218,smith,human,species_gene
1220,1229,fluid,tissue,gene_disease
1222,1231,chimera,ectodomain,gene_gene
1238,1247,ifa,protein,gene_gene
1239,1248,ctra,pattern,gene_gene
1245,1254,foot,contagious disease,disease_disease
1256,1265,foodborne illness,human,species_gene
1260,1269,ctra,pattern,gene_gene
1265,1274,qbd,patient,species_species
1266,1275,variable,type,disease_disease
1270,1279,marylation,nsp3,gene_gene
1273,1282,m13,bacteriophage,species_species
1278,1287,aerosol,guinea pig,species_species
1287,1297,cdi toxin,protein,gene_gene
1289,1299,data,epidemic,disease_disease
1290,1300,data,major,disease_disease
1291,1301,clearance,pneumonia,disease_disease
1293,1303,zikv,febrile illness,disease_disease
1297,1307,mrna,protein,gene_gene
1299,1309,control,inflammation,disease_disease
1302,1312,infection,respiratory,species_disease
1306,1316,severe acute respiratory syndrome coronavirus,bat,species_species
1313,1323,membrane,antibody,gene_gene
1320,1330,ave0991,chronic,disease_disease
1332,1342,tissue,body,gene_gene
1338,1348,necrosis,tissue,gene_disease
1340,1350,niv,patient,species_species
1341,1351,bat,coronavirus,species_disease
1343,1353,rush,protein,gene_gene
1349,1359,frameshifting,e.coli,species_species
1351,1361,qbd,patient,species_species
1352,1362,delivery,caesarean section,disease_disease
1353,1363,amino acid,protein,gene_gene
1355,1365,nonrebreather mask,acute respiratory distress syndrome,disease_disease
1360,1370,age,patient,species_species
1362,1372,egcg,protein,gene_gene
1383,1393,trp,membrane protein,gene_gene
1389,1399,canada,respiratory virus,species_disease
1390,1400,nls-2,transport,gene_gene
1395,1405,clearance,pneumonia,disease_disease
1406,1416,membrane,poliovirus infection,disease_disease
1407,1417,case,patient,species_species
1416,1426,rush,protein,gene_gene
1425,1436,none,pulmonary disease,disease_disease
1429,1440,specimen,influenza,species_disease
1431,1442,qol,severe sepsis,disease_disease
1432,1443,second group,histidine,drug_drug
1435,1446,symptom,pandemic,disease_disease
1440,1451,group,patient,species_species
1471,1482,prevalence,high,disease_disease
1474,1485,s. dublin,pneumonia,disease_disease
1500,1511,second group,person,species_species
1505,1516,sars-cov,tissue,gene_disease
1506,1517,group 3,infectious bronchitis virus,species_disease
1510,1521,qbd,rabbit,species_species
1520,1531,route,infection,disease_disease
1528,1539,apoptosis,enhanced,disease_disease
1531,1542,symptom,depression,disease_disease
1539,1550,outpatient,paracetamol,drug_drug
1540,1551,enterovirus,child,species_species
1542,1553,chill,dyspnea,disease_disease
1547,1558,qbd,inflammatory injury,disease_disease
1556,1567,h1n1 virus,human,species_gene
1562,1573,pathology,mouse,species_species
1565,1576,pneumococcus,child,species_species
1568,1579,canada,human respiratory virus,species_species
1571,1582,stom,multifunctional,gene_gene
1572,1583,rabies virus,bat,species_species
1580,1591,lung,lower,disease_disease
1582,1593,antigen,antibody,gene_gene
1584,1595,qbd,rabbit,species_species
1590,1601,model,epidemic,disease_disease
1595,1606,hospital,pneumonia,disease_disease
1598,1609,c.difficile,pig,species_species
1610,1621,serum,antibody,gene_gene
1614,1625,ata,protein,gene_gene
1615,1626,advance,coronavirus,species_disease
1619,1630,cell,serum albumin,gene_gene
1620,1631,denmark,person,species_species
1626,1637,hyperoxia,oxygen,drug_drug
1634,1646,"5,6",henipavirus infection,disease_disease
1637,1649,data,virus,gene_disease
1645,1657,hybridoma,antibody,gene_gene
1664,1676,virus,tissue,gene_disease
1669,1681,middle east respiratory syndrome coronavirus,acute respiratory syndrome,disease_disease
1670,1682,alteration,coronavirus spike glycoprotein,gene_gene
1673,1685,cell,protein,gene_gene
1677,1689,control,pandemic influenza,disease_disease
1678,1690,spice,complement,gene_gene
1679,1691,disease progression,mouse,species_species
1681,1693,onset,2009,disease_disease
1682,1694,compound,host,gene_gene
1684,1696,recognition,chickenpox,species_disease
1685,1697,covs,pneumonia,disease_disease
1688,1700,murine coronavirus,mouse hepatitis virus,species_disease
1692,1705,data,respiratory tract disease,disease_disease
1699,1712,niv,patient,species_species
1703,1716,bat,virus,gene_disease
1706,1719,plasmid,renilla luciferase,gene_gene
1711,1724,melioidosis,tuberculosis,disease_disease
1714,1727,maldi-tof m technology,virus,gene_disease
1724,1737,complication,patient,species_species
1734,1747,serum,antibody,gene_gene
1747,1760,cell,paraformaldehyde,drug_drug
1756,1769,pcr,virus,gene_disease
1782,1795,epec,turkey,species_species
1784,1797,model,avian,species_disease
1785,1798,antiviral,epidemic,disease_disease
1793,1806,pathogen,pneumonia,disease_disease
1803,1816,symptom,dyspnea,disease_disease
1816,1829,chill,dyspnea,disease_disease
1818,1831,qol,sepsis,disease_disease
1830,1843,infection,epidemic,disease_disease
1833,1846,rotavirus,gastroenteritis,disease_disease
1835,1848,frameshifting,replicase,gene_gene
1836,1849,sensitivity,virus,gene_disease
1841,1854,taiwan,epidemic,disease_disease
1842,1855,pathogen,host,gene_gene
1843,1856,optimal,methanol,drug_drug
1845,1858,control,pneumonia,disease_disease
1848,1861,isg15,protein,gene_gene
1849,1862,molecule,flavonoid,drug_drug
1856,1869,seropositive,cyclophosphamide,drug_drug
1863,1876,pathogen,severe acute respiratory syndrome coronavirus 2,disease_disease
1866,1879,outbreak,viral disease,disease_disease
1868,1881,murine coronavirus,mouse hepatitis virus,species_disease
1870,1883,pathology,mouse,species_species
1874,1887,ifi16,protein,gene_gene
1878,1891,apoptosis,measles,species_disease
1882,1895,imaging,2009,disease_disease
1883,1896,flexner,major,disease_disease
1887,1900,monocyte,tissue,gene_disease
1896,1909,rotavirus,gastroenteritis,disease_disease
1901,1914,gp5,virus,gene_disease
1903,1916,lockdown,person,species_species
1912,1925,rab8,elk,species_species
1920,1933,symptom,pulmonary edema,disease_disease
1924,1937,trp,membrane protein,gene_gene
1926,1939,tocilizumab,monoclonal,gene_gene
1938,1951,bli,pneumonia,disease_disease
1942,1955,data,patient,species_species
1952,1965,cps,virulence factor,gene_gene
1954,1967,cbt,anxiety,disease_disease
1956,1969,cell,imiquimod,drug_drug
1958,1971,outbreak,men,species_species
1964,1977,qbd,inflammation,disease_disease
1972,1985,rhinovirus pcr,infection,disease_disease
1978,1991,pcr,virus,gene_disease
1982,1995,disease,bat,species_species
1987,2000,optimal,endogenous peroxidase,gene_gene
2002,2016,membrane fusion,cell,gene_gene
2003,2017,symptom,hypoxia,disease_disease
2013,2027,il-1,tissue,gene_disease
2019,2033,cathepsin l,protein,gene_gene
2022,2036,covs,coronavirus,species_disease
2027,2041,covs,pneumonia,disease_disease
2032,2046,section,antibody,gene_gene
2033,2047,matrix,nucleocapsid,gene_gene
2038,2052,bal,lung,disease_disease
2046,2060,lbf,child,species_species
2047,2061,antiviral,infection,disease_disease
2050,2064,h1n1 strain,h1n1,gene_gene
2052,2066,illness,chronic,disease_disease
2064,2078,peptide,peptide,gene_drug
2066,2080,illness,lower respiratory tract involvement,disease_disease
2067,2081,palivizumab,infectious disease,disease_disease
2073,2087,outbreak,acute respiratory syndrome,disease_disease
2075,2089,bat,infection,disease_disease
2082,2096,infection,turkey,species_species
2085,2099,data,epidemic,disease_disease
2102,2116,firmicutes,lower,disease_disease
2125,2139,enterovirus,child,species_species
2127,2141,middle east respiratory syndrome coronavirus,severe acute respiratory syndrome,disease_disease
2128,2142,inhalation,mouse,species_species
2134,2148,protein,transport,gene_gene
2135,2149,membrane,antibody,gene_gene
2138,2152,neoplasm,adenocarcinoma,disease_disease
2145,2159,control,nsp1,gene_gene
2153,2167,symptom,respiratory distress syndrome,disease_disease
2158,2172,pan american health organization,polio,disease_disease
2163,2177,nature,glycoprotein,gene_gene
2166,2180,pkr,protein,gene_gene
2168,2182,host,bat,species_species
2185,2199,cell,virus,gene_disease
2194,2208,data,small,gene_gene
2197,2211,age,type,disease_disease
2200,2214,etbr,demyelination,disease_disease
2209,2223,age,patient,species_species
2224,2238,fruit bat,flying fox,species_species
2229,2243,spleen,tissue,gene_disease
2231,2245,cd93,glycoprotein,gene_gene
2236,2250,paramyxo,fusion,gene_gene
2239,2253,fev 1,asthma,disease_disease
2252,2266,protein,viral envelope,gene_gene
2268,2282,time,lung consolidation,disease_disease
2270,2284,c.difficile,pig,species_species
2272,2286,tissue,chicken,species_species
2285,2299,ubv-cc4,immune suppression,disease_disease
2286,2300,burden,child,species_species
2293,2307,rpmi-1640,penicillin,drug_drug
2295,2309,spread,plague,disease_disease
2297,2311,hepatitis c virus,protein,gene_gene
2302,2316,protein,protein,gene_gene
2307,2321,inhalation,mouse,species_species
2309,2323,cbt,anxiety,disease_disease
2312,2326,tottey,envelope glycoprotein,gene_gene
2317,2331,synthesis,rna,gene_gene
2319,2333,science,immunology,disease_disease
2324,2338,japan,human,species_gene
2329,2343,rt-pcr,picornavirus,disease_disease
2331,2345,cov-19,pulmonary oedema,disease_disease
2332,2346,bnabs,guinea pig,species_species
2334,2348,burden,lung,disease_disease
2335,2349,isiolo,cattle,species_species
2336,2350,protein,small,gene_gene
2341,2355,statin,protein,gene_gene
2342,2356,ang,lung edema,disease_disease
2349,2363,pathogen,pneumonia,disease_disease
2350,2364,residue,acid,drug_drug
2351,2365,cleavage,arginine,drug_drug
2353,2367,yu et al.,antibody,gene_gene
2354,2368,qbd,patient,species_species
2355,2369,antibody,galactocerebroside,drug_drug
2358,2372,zikv,rhesus monkey,species_species
2361,2375,lockdown,extended,gene_gene
2366,2380,medium,human β2-microglobulin,gene_gene
2374,2388,bal,lung,disease_disease
2382,2396,basophil,antibody,gene_gene
2385,2399,protein,antibody,gene_gene
2386,2400,ward,h1n1,gene_gene
2387,2401,sirnas,viral infection,disease_disease
2393,2407,infection,turkey,species_species
2394,2408,control,patient,species_species
2398,2412,facemask,panic,disease_disease
2404,2418,case,virus,gene_disease
2407,2421,onset,2009,disease_disease
2408,2422,c.difficile,enteritis,disease_disease
2413,2427,article,right,disease_disease
2419,2433,coronavirus,bat,species_species
2421,2435,cbt,anxiety,disease_disease
2422,2437,tocilizumab,patient,species_species
2429,2444,residue,acid,drug_drug
2439,2454,apoptosis,7a protein,gene_gene
2440,2455,2000,h1n1,gene_gene
2462,2477,rebov,human,species_gene
2463,2478,stimulation,infection,disease_disease
2465,2480,pkr,protein,gene_gene
2467,2482,kipyv,host,gene_gene
2473,2488,mucus,fluid,disease_disease
2475,2490,specimen,influenza,species_disease
2480,2495,sanofi,vaccine,disease_disease
2481,2496,plasmid,protein,gene_gene
2483,2498,serum sample,antibody,gene_gene
2486,2501,host,bat,species_species
2498,2513,protein,viral envelope,gene_gene
2504,2519,recognition,bat,species_species
2510,2525,ncp,inflammation,disease_disease
2517,2532,example,infection,disease_disease
2531,2546,compound,transition metal,drug_drug
2535,2550,rush,protein,gene_gene
2537,2552,sensitivity,virus,gene_disease
2539,2554,control,patient,species_species
2545,2560,bnabs,guinea pig,species_species
2554,2569,medicare,patient,species_species
2562,2577,protein,antibody,gene_gene
2589,2605,frequency,small,gene_gene
2598,2614,qbd,systemic inflammation,disease_disease
2605,2621,application,community,disease_disease
2609,2625,inhalation,mouse,species_species
2612,2628,learning,public,disease_disease
2616,2632,contact,dog,species_species
2619,2635,immunocytochemistry,viral antigen,gene_gene
2620,2636,membrane,antibody,gene_gene
2621,2637,cell,imiquimod,drug_drug
2624,2640,exit,cell,gene_gene
2628,2644,ultrasound,thrombosis,disease_disease
2629,2645,physician,distress syndrome,disease_disease
2634,2650,glomerulus,intact,gene_gene
2658,2674,discovery,virus,gene_disease
2660,2676,thailand,2009,disease_disease
2662,2678,second group,histidine,drug_drug
2663,2679,group,influenza,species_disease
2664,2680,kipyv,host,gene_gene
2667,2683,bacteria,viral infection,disease_disease
2670,2686,peptide,lipid,gene_gene
2674,2690,efgp,protein,gene_gene
2678,2694,antigenic shift,virus,gene_disease
2682,2698,plasmid,furin,gene_drug
2687,2704,hev,rna,gene_gene
2688,2705,assay,protein,gene_gene
2690,2707,tnf-a,tissue,gene_disease
2693,2710,none,patient,species_species
2700,2717,symptom,distress syndrome,disease_disease
2702,2719,rdv-tp,rna,gene_gene
2710,2727,section,antibody,gene_gene
2720,2737,lipid membrane,host,gene_gene
2727,2744,vaccine,viral infection,disease_disease
2730,2747,symptom,pain,disease_disease
2731,2748,virus,injury,disease_disease
2736,2753,zhang et al.,blood,disease_disease
2737,2754,size,mutant,gene_gene
2743,2760,m7gmp,rna,gene_gene
2774,2792,sample,antibody,gene_gene
2780,2798,mrna,leader,gene_gene
2784,2802,mdc1,human,species_gene
2787,2805,gene,gene,gene_gene
2790,2808,covid-19 survivor,infection,disease_disease
2794,2812,usc,infection,disease_disease
2803,2821,symptom,depression,disease_disease
2805,2823,dermatitis,inflammation,disease_disease
2806,2824,cd93,glycoprotein,gene_gene
2808,2826,japan,human respiratory virus,species_species
2809,2827,plasmid,protein,gene_gene
2816,2834,genus,virus,gene_disease
2818,2836,membrane,anti-ß-actin antibody,gene_gene
2823,2841,cell,virus,gene_disease
2828,2846,protein,glycerol,drug_drug
2830,2848,h5n1 virus,mouse,species_species
2835,2853,apoptosis,protein,gene_gene
2840,2858,cell,protein,gene_gene
2841,2859,monocyte,blood,disease_disease
2845,2863,migratory bird,virus,gene_disease
2847,2866,rj.my135q.llo190-infected balb/c mouse,encephalitis,disease_disease
2871,2890,centre,emerging,disease_disease
2874,2893,microbiota,critical,disease_disease
2887,2906,hygiene,person,species_species
2889,2908,death,malaria,disease_disease
2896,2915,serum,antibody,gene_gene
2898,2917,compound,host,gene_gene
2906,2925,cnrl,influenza,species_disease
2908,2927,lymphocyte,lower,disease_disease
2910,2929,lc-ms/ms analysis,protein,gene_gene
2912,2931,mefs,infection,disease_disease
2913,2932,mdl,infection,disease_disease
2919,2938,age,infection,disease_disease
2924,2943,sseg,lipid,gene_gene
2965,2984,death,malaria,disease_disease
2966,2985,illness,coronavirus,species_disease
2978,2997,typhimurium,bacterial,disease_disease
2980,2999,fetus,congenital illness,disease_disease
2984,3003,infection,influenza,species_disease
2985,3004,lung,alveolitis,disease_disease
2992,3011,t. evansi,weight loss,disease_disease
2999,3018,lymphocyte,patient,species_species
3006,3025,virus,protein,gene_gene
3008,3027,incidence,lower,disease_disease
3019,3038,tissue,paraffin,drug_drug
3020,3039,blood,mouse,species_species
3026,3045,outbreak,chicken,species_species
3027,3046,enzyme,protein,gene_gene
3030,3049,group ii,asparagine,drug_drug
3038,3057,plasmid,protein,gene_gene
3041,3060,rt-pcr,influenza pandemic,disease_disease
3043,3062,qol,sepsis,disease_disease
3048,3067,swab sample,child,species_species
3058,3077,enzyme,aryl amidase,gene_gene
3071,3090,symptom,wheezing,disease_disease
3072,3091,pems,virus,gene_disease
3073,3092,google flu trend,public health,disease_disease
3082,3101,niv,pandemic,disease_disease
3083,3102,isobutyl group,small,gene_gene
3087,3106,physician,valacyclovir,drug_drug
3104,3123,serum,liver,disease_disease
3105,3124,spleen,congestion,disease_disease
3107,3126,npv,lower,disease_disease
3108,3127,illness,acid,drug_drug
3113,3132,t3d,blood,disease_disease
3115,3134,spice,human,species_gene
3121,3140,mutation,nsp1,gene_gene
3130,3149,influenza viral rna,patient,species_species
3141,3161,data,patient,species_species
3151,3171,acquired immune deficiency syndrome,pandemic,disease_disease
3155,3175,herpesviruses,host,gene_gene
3156,3176,diga ab,protein,gene_gene
3157,3177,section,antibody,gene_gene
3158,3178,lipid,virus,gene_disease
3161,3181,european union,infectious disease,disease_disease
3166,3186,urt,tissue,gene_disease
3168,3188,mpa1,tissue,gene_disease
3173,3193,medium,chloroquine,drug_drug
3177,3197,health system,pandemic influenza,disease_disease
3183,3203,covs,common cold,disease_disease
3187,3207,compound,virus,gene_disease
3194,3215,epitope,viral,gene_disease
3198,3219,prevalence,child,species_species
3205,3226,nature,coronavirus,species_disease
3211,3232,wuhan city,infection,disease_disease
3216,3237,symptom,viral,gene_disease
3224,3245,australia,human respiratory virus,species_species
3228,3249,chol,chloroform,drug_drug
3235,3256,mbp,protein,gene_gene
3238,3259,ubv-cc4,immune suppression,disease_disease
3240,3261,oestriol,high,disease_disease
3253,3274,virus,rna,gene_gene
3266,3287,focus,lung,disease_disease
3267,3288,protein,antibody,gene_gene
3268,3289,nucleoprotein,rna,gene_gene
3273,3294,research,infectious disease,disease_disease
3278,3299,smith,influenza virus,species_disease
3281,3302,control,oligodendroglia,disease_disease
3283,3304,model,pandemic,disease_disease
3286,3307,virus,person,species_species
3290,3311,influenza rna,patient,species_species
3294,3315,iraq,smallpox virus,species_species
3296,3317,multiplex assay,propidium iodide,drug_drug
3303,3324,hsv-1,protein,gene_gene
3307,3328,interaction,c-src,gene_gene
3314,3335,disease,bat,species_species
3316,3337,kipyv,respiratory pathogen,disease_disease
3317,3338,symptom,pulmonary edema,disease_disease
3321,3342,pcav-1 sd,lipofectamine 2000,drug_drug
3331,3352,protein,viral glycoprotein,gene_gene
3345,3366,hhv7,blood,disease_disease
3349,3370,data,patient,species_species
3365,3386,genome,replicase protein,gene_gene
3367,3388,motor,myosin,gene_gene
3384,3405,molecule,mutant,gene_gene
3393,3414,data,patient,species_species
3396,3417,cd93,autoimmune encephalomyelitis,disease_disease
3402,3423,lpai h7n9,human,species_gene
3411,3432,egfp fluorescence,antigen,gene_gene
3413,3434,hydrophila,small,gene_gene
3419,3440,amino acid,protein,gene_gene
3424,3445,data,lower,disease_disease
3432,3453,lentivirus,luciferase reporter gene,gene_gene
3436,3457,variation,high,disease_disease
3437,3458,qbd,patient,species_species
3446,3467,target,human,species_gene
3450,3471,examination,rhinitis,disease_disease
3456,3477,hematuria,febrile,disease_disease
3462,3483,osterhaus,body,gene_gene
3472,3494,smith,influenza virus,species_disease
3473,3495,cost,high,disease_disease
3483,3506,cd93,encephalomyelitis,disease_disease
3491,3514,data,patient,species_species
3495,3518,qbd,patient,species_species
3496,3519,molecule,matrix protein,gene_gene
3497,3520,protein,transport,gene_gene
3502,3525,tottey,envelope glycoprotein,gene_gene
3508,3531,protein,replicase gene,gene_gene
