,subject,new_relation,object
63,cd151,gene_disease,prrsv infection
64,cd151 protein,gene_gene,cd151
65,cd151,gene_gene,antibody
67,cd151,gene_drug,monoclonal antibody
69,cd151,gene_gene,gene 1
73,cd151,gene_gene,cloned
74,cd151 protein,gene_species,specie
77,membrane,gene_gene,anti-cd151 mab
78,membrane,gene_gene,mab
79,plp1,gene_gene,3clpro
80,plp1,gene_gene,cysteine protease
81,coronaviruses,disease_gene,plp2
82,plp2,gene_gene,pl2pro
84,clone,gene_gene,protein
85,mhv nsp3,gene_gene,membrane protein
86,mhv nsp3,gene_gene,integral membrane protein
87,egfp,gene_gene,cell
89,protein,gene_disease,er
90,treatment,treat_procedure_gene,endo h
91,vaccinia virus,disease_gene,bacteriophage t7 polymerase
92,recombinant vaccinia virus,disease_gene,bacteriophage t7 polymerase
93,ace2,gene_gene,carboxypeptidase
94,ace2,gene_gene,receptor
95,ace2,gene_disease,syndrome
96,ace2,gene_disease,respiratory syndrome
98,ace2,gene_disease,acute respiratory syndrome
99,ace2,gene_disease,severe acute respiratory syndrome
100,ace2,gene_disease,sars
105,glu,drug_drug,gln
106,ace3,gene_species,specie
107,ace3,gene_gene,pseudogene
108,gln,drug_gene,mouse
109,ace3,gene_gene,mouse
110,asp,drug_drug,ace
111,asp,drug_disease,critical
112,ace3 sequence,gene_gene,mouse
114,human ace3,gene_drug,ace
115,ace3,gene_drug,ace
116,pseudogenes,gene_treat_procedure,expression
117,makorin1,gene_species,animal
118,presence,treat_procedure_treat_procedure,expression
120,ace3 gene,gene_treat_procedure,expression
121,ace3 gene,gene_gene,gene
127,virus,disease_species,specie
128,virus,disease_gene,human
129,influenza a virus,disease_species,specie
130,genome,gene_gene,viral rna polymerase
131,viral genome,gene_gene,rna polymerase
132,viral genome,gene_gene,rna dependent rna polymerase
133,viral genome,gene_gene,viral rna polymerase
134,genome,gene_gene,rna dependent rna polymerase
135,genome,gene_gene,rna polymerase
136,pseudoknot,gene_gene,ribosome
137,pandemic influenza,disease_gene,impact
138,guidance,treat_procedure_gene,impact
139,pandemic virus,disease_disease,epidemic
140,coronavirus infection,disease_disease,common cold
142,coronavirus infection,disease_disease,cold
144,coronavirus infection,disease_disease,respiratory tract disease
146,coding region,gene_treat_procedure,detected
147,mhv,disease_gene,cdc
148,mhv,disease_gene,pdcs
150,nsp1,gene_treat_procedure,induction
151,nsp1,gene_disease,major
152,coronaviruses,disease_gene,papcs
153,coronaviruses,disease_treat_procedure,expression
154,gpt gene,gene_gene,gene
156,respiratory tract disease,disease_disease,sars cov
157,lower respiratory tract disease,disease_disease,sars cov
158,blind,disease_disease,encephalitis
160,encephalitic alphavirus,disease_species,mouse
161,encephalitic alphavirus,disease_disease,cns
162,virus,disease_disease,tissue
163,virus,disease_disease,cns
166,infection,disease_disease,encephalitis
167,encephalitis,disease_treat_procedure,infiltration
168,cell type,gene_treat_procedure,vaccination
169,igg antibody,gene_disease,infection
170,virus,disease_treat_procedure,electroporation
171,virus,disease_disease,infection
172,g3bp1,gene_gene,nsp2
174,expression,treat_procedure_gene,pkr
175,wnv,disease_disease,rna
176,infection,disease_disease,tgev
177,inclusion,gene_gene,granule
178,nuclear factor κb,gene_treat_procedure,expression
179,rna virus,disease_gene,protein
180,e1a,gene_gene,p50
181,parasite,disease_gene,host
182,parasite,disease_gene,iκbα
183,injury,disease_species,child
184,inflammatory injury,disease_species,child
185,ldh,gene_disease,injury
187,sore throat,disease_disease,fever
188,asthma,disease_symptom,illness
189,asthmatic,disease_symptom,illness
192,virus,disease_disease,community
193,pandemic,disease_disease,png
194,amino acid,drug_drug,arginine
195,tmprss2,gene_gene,haemagglutinin
196,tmprss2,gene_disease,ha
197,tmprss2,gene_gene,ha
198,antibody,gene_disease,ebov infection
199,mbl,gene_gene,homology
200,mbl,gene_disease,infection
202,ebov infection,disease_treat_procedure,presence
204,c3 convertase,gene_gene,c3 convertase
205,mbl,gene_disease,viral infection
207,pngase f,gene_disease,infection
208,presence,treat_procedure_disease,viral infection
209,infection,disease_drug,tunicamycin
212,acidification,treat_procedure_disease,ebov infection
213,mbl,gene_disease,ebov infection
214,mbl,gene_disease,ebov
216,lectin,gene_gene,pattern recognition receptor
217,lectin,gene_gene,multifunctional
219,virus,disease_disease,type
220,mbl,gene_disease,virus
221,mbl,gene_gene,actin filament
222,ebov,disease_disease,virus infection
225,ebov,disease_disease,infection
226,virus,disease_gene,mbl
231,mbl,gene_gene,complement
235,mbl,gene_disease,liver
238,gps,gene_drug,mannose
241,pt,gene_gene,set
242,mail,gene_disease,emerging infectious disease
243,mail,gene_disease,infectious disease
244,mail,gene_disease,disease
245,mail,gene_disease,emerging disease
246,finding,symptom_disease,influenza virus infection
247,elevation,treat_procedure_disease,critical
248,pi3k,gene_species,mouse
251,virus infection,disease_species,mouse
252,helicobacter pylorus infection,disease_species,human
253,neoplasm,disease_disease,stomach
254,malignancy,disease_treat_procedure,surgical excision
256,malignancy,disease_treat_procedure,excision
258,presence,treat_procedure_disease,carcinoma
259,tumor,disease_treat_procedure,surgical
260,expression,treat_procedure_gene,gene
262,expression,treat_procedure_treat_procedure,expression
264,expression,treat_procedure_disease,mhv infection
265,stat1,gene_gene,histone acetyltransferase
266,t. gondii infection,disease_disease,cns
267,ifn β,gene_gene,autophagy
270,cdna,gene_disease,rna
271,virus,disease_gene,large
272,nsp1,gene_gene,protein
274,virus,disease_disease,disease
275,virus,disease_disease,mhv infection
279,acute hepatitis,disease_disease,encephalitis
282,hepatitis,disease_disease,encephalitis
284,pgpt,gene_gene,nsp1
285,co-infection,disease_disease,ph1n1
286,viral pneumonia,disease_disease,co-infection
288,co-infection,disease_disease,rsv
289,coronavirus,disease_disease,rna virus
290,disease,disease_species,cat
291,light,gene_species,cat
293,rna,disease_disease,effusion
294,coronaviruses,disease_gene,ifn
298,sars cov,disease_gene,host
299,measles,disease_gene,damage
301,vaccination,treat_procedure_disease,smallpox
302,vaccine,disease_species,people
303,syndrome,disease_disease,sars epidemic
305,respiratory syndrome,disease_disease,sars epidemic
307,severe acute respiratory syndrome,disease_disease,sars epidemic
310,acute respiratory syndrome,disease_disease,sars epidemic
319,human papillomavirus,disease_gene,antibody
320,hepatitis b,disease_disease,infection
321,virus,disease_disease,fpr
322,phe,drug_gene,receptor
323,dp178,gene_disease,fpr
324,coronaviruses,disease_disease,infection
325,fpr,disease_disease,virus
326,fpr,disease_disease,viral infection
327,fpr,disease_disease,infection
328,formyl peptide receptor,gene_gene,receptor
329,ebola virus,disease_gene,membrane region
330,fpr,disease_treat_procedure,presence
332,light,gene_gene,gene
333,stimulation,treat_procedure_gene,lp
334,stimulation,treat_procedure_disease,prrsv
335,tlrs,gene_disease,prrsv infection
336,renin,gene_gene,step
337,renin,gene_gene,ra
338,renin,gene_gene,renin
339,ace,drug_gene,set
340,hypertension,disease_drug,ace
343,albuminuria,disease_gene,damage
345,angiotensin ii,drug_disease,injury
346,angiotensin ii,drug_disease,renal injury
347,angiotensin ii,drug_treat_procedure,expression
348,virus,disease_species,rabbit
349,virus,disease_disease,tumor
350,ribavirin,drug_disease,cpe
352,reduction,treat_procedure_disease,cpe
353,infection,disease_disease,sars cov
354,therapy,treat_procedure_disease,anemia
355,igg,gene_gene,horseradish peroxidase
356,virus,disease_disease,influenza virus
358,antibody,gene_gene,spike protein
359,s1,drug_gene,host cell receptor
360,hev,drug_species,human
361,niv,disease_species,human
362,virus,disease_gene,receptor
365,rbd protein,gene_disease,critical
366,hepatocyte,gene_disease,hcv
367,he,disease_disease,founder
368,he,disease_species,working
370,he,disease_species,patient
372,he,disease_species,man
373,he,disease_symptom,finding
375,schistosomiasis,disease_disease,chikungunya virus
376,gene,gene_disease,virus
378,rank,gene_disease,disorder
383,virus,disease_disease,disorder
384,trizol,drug_drug,h2o
387,bracovirus,disease_disease,ichnovirus
389,bocaviruses,disease_gene,group 2
390,exosome,gene_gene,body
391,zap,gene_disease,recruitment
392,eif3,gene_gene,40 ribosomal subunit
393,tax protein,gene_gene,subunit
394,murine coronavirus,disease_disease,mouse hepatitis virus
395,coronavirus,disease_disease,mouse hepatitis virus
396,virus,disease_gene,nuclease
397,expression,treat_procedure_gene,vhs
398,overlap,treat_procedure_disease,np
399,finding,symptom_treat_procedure,induction
400,finding,symptom_disease,hcv
401,rna virus,disease_treat_procedure,detection
402,antibody,gene_treat_procedure,vaccination
403,reassortant virus,disease_gene,gene
404,vaccination,treat_procedure_disease,paralysis
405,infection,disease_disease,pandemic influenza
406,tl,disease_gene,cysteine proteinase
408,enterobactin,gene_gene,ex-fabp
409,virulence factor,gene_disease,apec
410,expression,treat_procedure_disease,bronchitis coronavirus
411,infection,disease_treat_procedure,expression
412,expression,treat_procedure_disease,infectious bronchitis coronavirus
415,ex-fabp,gene_gene,fat
416,coronaviruses,disease_gene,large
418,virus,disease_species,human
420,n protein,gene_disease,rna
421,antibody,gene_species,patient
422,n protein,gene_gene,nucleocapsid
423,ifnγ,gene_gene,tnfα
428,t cell,gene_treat_procedure,clearance
429,supplementation,treat_procedure_disease,genital
430,sphingolipids,drug_disease,critical
431,c. pneumoniae,disease_disease,respiratory tract infection
432,pneumonia,disease_disease,respiratory distress
435,emerging disease,disease_species,human
436,disease,disease_species,human
437,h5n1,disease_disease,h9n2
439,viral disease,disease_species,human
444,virus,disease_disease,avian influenza virus
446,inflammation,disease_disease,edema
447,igm antibody,gene_disease,m. pneumoniae
448,pneumoniae,disease_species,patient
450,igm antibody,gene_disease,infection
451,tmh v,gene_gene,rhodopsin
452,w190,gene_gene,w190
453,infection,disease_species,s. aureus
454,sars,disease_disease,respiratory virus infection
455,influenza,disease_disease,respiratory virus infection
456,sars,disease_gene,hla
457,coronaviruses,disease_disease,virus
458,hcov nl63,gene_disease,virus
459,hcov nl63,gene_disease,respiratory tract disease
460,coronavirus,disease_gene,nl63
461,nl63,gene_gene,nl63
462,antibody,gene_treat_procedure,detected
463,goat anti-hcov-229e antibody,gene_gene,protein
464,goat anti-hcov-229e antibody,gene_gene,recombinant protein
465,virus,disease_species,infant
466,all,gene_species,chlamydia pneumoniae
467,severe acute respiratory syndrome,disease_disease,rna virus
468,acute respiratory syndrome,disease_disease,rna virus
470,luciferase,gene_gene,egfp
471,coronaviruses,disease_species,human
472,angiotensin converting enzyme 2,gene_gene,ra
473,ace2,gene_species,patient
474,treatment,treat_procedure_disease,hyperglycemia
475,renal fibrosis,disease_treat_procedure,treatment
476,fibrosis,disease_treat_procedure,treatment
479,ang ii,gene_gene,ace2
480,ace2,gene_species,participant
481,treatment,treat_procedure_gene,ang ii
482,hyperglycemia,disease_disease,nephropathy
483,ns1,gene_gene,np1
485,hbov1,gene_disease,lrtis
488,detection,treat_procedure_disease,blood
489,respiratory virus,disease_disease,hrv
490,virus,disease_disease,hrv
491,hbov1,gene_treat_procedure,detected
492,lrtis,disease_disease,hbov
493,virus,disease_gene,flua
494,virus,disease_disease,influenza a
496,cirrhosis,disease_disease,liver disease
497,biliary cirrhosis,disease_disease,autoimmune liver disease
498,cirrhosis,disease_disease,autoimmune liver disease
499,biliary cirrhosis,disease_disease,liver disease
500,progressive disease,disease_species,patient
501,disease,disease_species,patient
502,immunosuppression,disease_species,patient
504,immunosuppression,disease_treat_procedure,reduction
505,virus,disease_disease,liver
506,anti-retroviral therapy,treat_procedure_species,patient
507,therapy,treat_procedure_species,patient
514,betaretrovirus,disease_disease,cholangitis
515,hiv,disease_gene,cyclophilins
516,virus,disease_gene,target cell
517,virus,disease_gene,cyclophilins
520,hiv,disease_drug,csa
521,ibv,disease_gene,spike
522,s protein,gene_drug,s1
524,ib,disease_treat_procedure,vaccination
525,ib,disease_disease,epidemic
527,s1 gene,gene_gene,k2
528,ibv,disease_gene,3a
529,3a,gene_gene,3a protein
531,virus,disease_treat_procedure,presence
532,lyme neuroborreliosis,disease_gene,ab
533,lyme neuroborreliosis,disease_gene,antibody
534,detection,treat_procedure_gene,csf
535,poliomyelitis,disease_disease,virus
536,encephalitis,disease_disease,virus
537,acute poliomyelitis,disease_disease,virus
538,ab,gene_species,patient
540,csf,gene_disease,virus
542,csf,gene_gene,ab
545,presence,treat_procedure_disease,cns
548,asc,gene_disease,cns
552,hepatitis,disease_disease,intracranial infection
554,hepatitis,disease_disease,infection
555,virus,disease_disease,oligodendroglia
556,hepatitis,disease_gene,rare
559,rna,disease_disease,infection
560,fever,disease_disease,arthralgia
561,fever,disease_disease,headache
562,fever,disease_disease,myalgia
564,sfv,disease_disease,fever
567,sfv,disease_species,human
568,post-exposure prophylaxis,treat_procedure_treat_procedure,administration
570,prophylaxis,treat_procedure_treat_procedure,administration
574,ab,gene_drug,60
575,ab,gene_gene,glycoprotein
577,ab,gene_disease,demyelination
578,igg,gene_disease,cns
580,asc,gene_treat_procedure,detected
582,cxcl10,gene_disease,critical
583,cxcl10,gene_gene,asc
584,cxcl10,gene_disease,cns
585,cxcr3,gene_gene,receptor
586,rv infection,disease_disease,microglia
588,cd8,gene_species,mouse
589,viral infection,disease_treat_procedure,detected
590,infection,disease_treat_procedure,detected
591,rsv,disease_disease,viral
592,influenza pandemic,disease_disease,pandemic
593,treatment,treat_procedure_disease,sinusitis
594,treatment,treat_procedure_disease,bacterial sinusitis
595,anosmia,disease_disease,nasal discharge
596,nasal symptom,disease_treat_procedure,treatment
597,anosmia,disease_symptom,discharge
599,influenza a,disease_disease,virus
600,influenza b,disease_disease,virus
604,influenza,disease_disease,infection
605,influenza,disease_disease,respiratory infection
606,influenza,disease_disease,acute infection
607,influenza,disease_disease,acute respiratory infection
608,influenza,disease_disease,fever
609,influenza b virus,disease_gene,ifn
610,impact,gene_disease,ed
614,nipah,disease_species,hamster
615,hendra,disease_species,hamster
617,paramyxovirus,disease_species,hamster
621,antibody,gene_species,mouse
622,vlps,gene_disease,iav
623,virus,disease_disease,avian
624,treatment,treat_procedure_treat_procedure,expression
627,inclusion,gene_treat_procedure,treatment
628,host,gene_gene,mapk
629,oa,disease_gene,protein
632,rna,disease_disease,rna
633,rtis,disease_species,child
635,detection,treat_procedure_disease,human herpesvirus 6
636,respiratory virus,disease_species,child
638,respiratory virus,disease_treat_procedure,detected
639,virus,disease_species,child
640,virus,disease_treat_procedure,detected
642,rna,disease_drug,sybr green
643,rna,disease_gene,mass
645,hcov,drug_treat_procedure,detected
646,rsv,disease_treat_procedure,detected
647,hrv,disease_treat_procedure,detected
648,hbov,disease_disease,respiratory tract disease
652,infection,disease_gene,cell
653,critical,disease_disease,respiratory disease
654,critical,disease_disease,viral disease
655,critical,disease_disease,disease
658,critical,disease_disease,viral respiratory disease
661,virus,disease_gene,cell
662,monolayers,drug_gene,red
663,monolayers,drug_drug,neutral red
664,monolayers,drug_disease,infection
665,virion,gene_gene,cell
666,sg protein,gene_gene,cleaved
667,cdna,gene_gene,cloned
669,mab,gene_treat_procedure,detected
671,t47d,disease_treat_procedure,expression
672,t47d,disease_gene,lectin
673,tumor,disease_treat_procedure,expression
674,α2,gene_gene,tgn
675,macrophage,gene_disease,tumor
676,ha2 80,gene_gene,coil
677,ha2,gene_gene,coil
679,xrn1,gene_gene,pb
683,respiratory tract infection,disease_species,child
684,rsv a,disease_drug,rsv b
687,lower respiratory infection,disease_species,child
688,co-infections,disease_disease,piv
689,rest,gene_disease,co-infections
691,acid,drug_treat_procedure,extracted
692,nucleic acid,gene_treat_procedure,extracted
693,influenza,disease_disease,virus
694,fatigue,disease_disease,throat
695,fatigue,disease_disease,sore throat
696,fatigue,disease_disease,headache
697,creatinine,drug_gene,c reactive protein
698,creatinine,drug_gene,protein
699,creatinine,drug_gene,lactate dehydrogenase
700,influenza,disease_disease,rsv
701,stabilization,treat_procedure_drug,peptide
703,h5n1,disease_disease,virus
704,h5n1,disease_disease,human virus
705,h5n1,disease_gene,human
706,h5n1,disease_species,human
708,serum,gene_treat_procedure,extracted
712,m membrane glycoprotein,gene_disease,er
715,s protein,gene_gene,polysomes
716,s protein,gene_disease,er
717,replacement,treat_procedure_drug,alanine
718,antibody,gene_species,sheep
719,map,gene_species,patient
720,ed,disease_disease,ili
722,influenza virus,disease_disease,respiratory virus
723,influenza virus,disease_treat_procedure,detected
724,influenza virus,disease_disease,virus
730,virus,disease_disease,h3n2
732,atg9,gene_gene,transmembrane protein
733,atg9,gene_gene,isolation membrane
734,dsrna,gene_gene,rig
735,atp,drug_treat_procedure,release
736,atp,drug_disease,rna
737,receptor,gene_gene,mapks
738,hmgb1,gene_gene,beclin 1
739,hmgb1,gene_gene,rage
740,autophagy,gene_disease,inflammation
741,autophagy,gene_disease,bacterial infection
742,autophagy,gene_disease,infection
743,autophagy,gene_treat_procedure,clearance
744,rage,gene_disease,infectious disease
745,rage,gene_disease,disease
748,inflammation,disease_gene,rage
749,rage,gene_gene,phosphatidylserine receptor
751,rage,gene_treat_procedure,clearance
752,hspb1,gene_disease,critical
753,hmgb1,gene_treat_procedure,expression
754,hmgb1,gene_gene,protein
756,coronaviruses,disease_gene,sg mrna
757,genome,gene_gene,base
758,respiratory syndrome coronavirus,disease_gene,phosphoprotein
759,syndrome coronavirus,disease_gene,phosphoprotein
760,acute respiratory syndrome coronavirus,disease_gene,phosphoprotein
761,severe acute respiratory syndrome coronavirus,disease_gene,phosphoprotein
762,nucleocapsid,gene_disease,coronaviruses
763,dd,disease_disease,ctd
764,protein,gene_gene,virion
766,n protein,gene_drug,acid
767,n protein,gene_gene,nucleic acid
768,virus,disease_disease,severe acute respiratory syndrome related coronavirus
769,receptor,gene_species,specie
770,overlap,treat_procedure_disease,high
771,hpi,disease_gene,12
772,hpi,disease_disease,sars cov
774,gene,gene_disease,de
775,kinase inhibitor,gene_gene,gene
776,sb203580,drug_disease,encephalomyocarditis virus
778,sb203580,drug_gene,antiviral
781,sb203580,drug_gene,p38 mapk
782,de,disease_gene,gene
783,pattern,gene_gene,mirna
785,virus infection,disease_gene,kit
786,expression,treat_procedure_gene,kit
787,influenza,disease_treat_procedure,expression
790,virus infection,disease_treat_procedure,expression
791,exosomes,gene_gene,antigen
792,exosomes,gene_treat_procedure,macrophage activation
793,uranyl acetate,drug_gene,membrane
794,ha mutant,gene_drug,carbohydrate
795,ha mutant,gene_gene,ha1
796,single point mutant ha0s,gene_gene,cell surface
797,ha,disease_gene,antibody
799,mutant,gene_drug,proline
800,v55p,gene_gene,loop
801,loop,gene_gene,end
802,diiodofluorescein,drug_treat_procedure,change
803,change,treat_procedure_treat_procedure,change
804,hemagglutinin,gene_gene,ice
805,change,treat_procedure_gene,fusion
806,change,treat_procedure_gene,step
807,vpr,gene_treat_procedure,induction
808,rev protein,gene_gene,cytoplasm
809,hcv,disease_disease,cirrhosis
810,hcv,disease_disease,liver cirrhosis
812,hcv core protein,gene_gene,ns5a
813,hcv ire,gene_species,yeast
814,hcv ire,gene_gene,functional
815,exosomes,gene_treat_procedure,presence
816,cd81,gene_gene,integrins
817,exosomes,gene_disease,bcg
818,hiv,disease_gene,exosomes
819,exosomes,gene_gene,prion protein
820,keratinocytes,gene_treat_procedure,release
821,intradermal injection,treat_procedure_symptom,drainage
822,injection,treat_procedure_symptom,drainage
823,ablation,treat_procedure_disease,injury
824,antigen,gene_disease,tissue
825,expression,treat_procedure_treat_procedure,intradermal injection
826,expression,treat_procedure_treat_procedure,injection
827,a2,gene_gene,e7
828,expression,treat_procedure_treat_procedure,induction
829,influenza,disease_disease,public health
831,influenza,disease_gene,damage
832,vaccination,treat_procedure_gene,gps
833,expression,treat_procedure_gene,adipocytes
834,lipoprotein,gene_treat_procedure,expression
835,lipoprotein,gene_disease,atherosclerosis
836,expression,treat_procedure_disease,fluid
837,expression,treat_procedure_gene,synoviocytes
838,stimulation,treat_procedure_gene,fibroblast growth factor 2
839,cytomegalovirus,disease_disease,herpes virus
840,severe acute respiratory syndrome,disease_disease,sars coronaviruses
841,acute respiratory syndrome,disease_disease,sars coronaviruses
842,inflammation,disease_disease,2009
843,damage,gene_treat_procedure,detection
845,fever,disease_disease,infection
846,gingivitis,disease_disease,periodontal disease
847,gingivitis,disease_disease,inflammation
848,gingivitis,disease_disease,disease
849,noroviruses,disease_disease,hepatitis e virus
850,noroviruses,disease_species,adenovirus
851,noroviruses,disease_disease,astroviruses
853,polyphenols,drug_disease,virus
854,polyphenols,drug_gene,damage
856,hbgas,gene_drug,carbohydrate
857,asbestos,disease_disease,lung cancer
858,influenza virus,disease_gene,cell
859,virus,disease_treat_procedure,change
861,virus,disease_gene,body
862,detection,treat_procedure_disease,infection
863,influenza virus,disease_gene,human
865,immune deficiency disease,disease_gene,human
866,deficiency disease,disease_gene,human
867,aid,disease_species,patient
868,human,gene_disease,disease
870,human,gene_gene,blame
871,hcv,disease_disease,rna virus
872,infection,disease_gene,rare
873,virus,disease_disease,h1n1
874,infection,disease_disease,h1n1
875,influenza virus,disease_gene,dc
876,septic shock,disease_disease,infection
877,septic shock,disease_disease,severe infection
878,p38 mapk,gene_gene,class
879,kt,disease_gene,gap
880,infection,disease_disease,hiv
883,actinobacillus pleuropneumoniae antigen,gene_treat_procedure,induction
884,vaccination,treat_procedure_disease,candidiasis
885,cysteine thiolate,drug_disease,su
886,pmb,drug_gene,membrane
887,expression,treat_procedure_disease,virus
888,disulfide,drug_gene,stva
889,su,disease_disease,tm
890,tva,drug_disease,alv su
891,replacement,treat_procedure_drug,serine
892,cys thiols,drug_gene,alv env
893,change,treat_procedure_gene,capsid
894,tm,disease_gene,mutant env
895,application,treat_procedure_gene,impact
896,antibody,gene_gene,antibody
897,acute,disease_disease,encephalomyelitis
898,pdc,disease_treat_procedure,stimulation
900,vrp,gene_disease,rna
901,ns3,gene_disease,csfv
902,rna,disease_gene,tlr7
905,pdc,disease_drug,dmem
906,pdc,disease_drug,glutamax
908,cd172a,gene_gene,mab
909,pandemic,disease_disease,2009
910,ards,disease_disease,weakness
911,h1n1,disease_disease,ecmo
912,pneumothorax,disease_disease,hemorrhage
913,pneumothorax,disease_treat_procedure,insertion
914,anticoagulation therapy,treat_procedure_disease,weakness
915,change,treat_procedure_disease,icu
916,depression,disease_species,patient
917,ha,disease_disease,ha
918,cell,gene_disease,ha
919,mammalian cell,gene_disease,ha
920,baculoviruses,disease_treat_procedure,expression
921,ha protein,gene_gene,ha protein
922,recombinant ha protein,gene_gene,ha protein
930,treatment,treat_procedure_gene,pngase f
931,infection,disease_disease,disease
932,disease,disease_disease,infection
933,viral infection,disease_gene,damage
934,infection,disease_gene,damage
935,v2163,drug_disease,sars cov
936,infection,disease_disease,2009
937,pulmonary infection,disease_disease,2009
938,viral antigen,gene_treat_procedure,detected
939,antigen,gene_treat_procedure,detected
941,expression,treat_procedure_gene,cell surface
942,presence,treat_procedure_treat_procedure,release
945,inoculation,treat_procedure_disease,pr8
946,influenza virus infection,disease_species,mouse
947,mhv,disease_treat_procedure,expression
951,expression,treat_procedure_gene,lp
952,expression,treat_procedure_gene,ha protein
953,expression,treat_procedure_gene,antibody
955,acidification,treat_procedure_treat_procedure,change
956,acidification,treat_procedure_gene,step
957,change,treat_procedure_gene,endosome
958,gene,gene_species,rhesus
959,vl,disease_species,macaque
960,application,treat_procedure_species,human
961,infection,disease_species,mouse
962,igg antibody,gene_gene,igg antibody
963,igg antibody,gene_gene,anti-human igg antibody
966,immunization,treat_procedure_disease,hcv
967,immunization,treat_procedure_gene,ab
968,passive immunization,treat_procedure_gene,ab
970,passive immunization,treat_procedure_disease,hcv
972,antibody,gene_disease,influenza virus infection
973,ab,gene_disease,infection
976,2g12,gene_species,human
977,primary infection,disease_disease,plant
978,mabs,gene_gene,rare
979,virus,disease_disease,hiv
981,trp,drug_drug,his
982,gene 1,gene_gene,replicase gene
983,ibv,disease_species,fowl
984,gene,gene_treat_procedure,presence
985,nucleotide,drug_gene,cloned
987,ir,gene_disease,beaudette
988,sg mrna,gene_gene,sg mrna
989,gene,gene_gene,gene
990,insertion,treat_procedure_disease,virus
991,antibody,gene_gene,end
992,igg,gene_species,p. vampyrus
993,maternal igg,gene_species,p. vampyrus
994,maternal igg,gene_disease,nipah virus
995,igg,gene_disease,nipah virus
996,ttsps,gene_treat_procedure,presence
997,thiols,drug_disease,su
998,stva,gene_species,e. coli
999,virus,disease_gene,ice
1001,stva,gene_gene,ice
1002,coronaviruses,disease_disease,respiratory infection
1004,oc43,gene_disease,cold
1005,oc43,gene_disease,common cold
1007,229e,disease_disease,common cold
1010,229e,disease_disease,cold
1015,upper respiratory tract disease,disease_species,child
1016,coronaviruses,disease_disease,respiratory disease
1020,respiratory disease,disease_species,rat
1021,sdav,disease_disease,pneumonia
1022,sdav,disease_species,rat
1023,sdav,disease_disease,interstitial pneumonia
1024,interstitial pneumonia,disease_disease,edema
1025,pneumonia,disease_disease,edema
1027,infiltration,treat_procedure_disease,lung
1029,cinc 2,drug_gene,cxc chemokines
1030,lix,gene_gene,cxc chemokines
1031,sdav,disease_treat_procedure,inoculation
1032,sdav,disease_treat_procedure,expression
1033,brefeldin a,drug_gene,cell surface
1034,infection,disease_disease,sdav
1035,cx3c chemokine family,gene_gene,chemokine
1037,treatment,treat_procedure_species,pseudomonas aeruginosa
1040,virus,disease_treat_procedure,expression
1041,expression,treat_procedure_disease,cns
1044,rsv,disease_treat_procedure,expression
1045,viral glycoprotein,gene_treat_procedure,expression
1046,il,gene_treat_procedure,induction
1047,virus,disease_drug,dmem
1048,viral nucleocapsid antigen,gene_drug,monoclonal antibody
1049,viral nucleocapsid antigen,gene_gene,mouse hepatitis virus nucleocapsid protein
1050,viral nucleocapsid antigen,gene_treat_procedure,detected
1052,viral antigen,gene_gene,antibody
1053,viral antigen,gene_drug,monoclonal antibody
1054,antigen,gene_gene,mouse hepatitis virus nucleocapsid protein
